Sentence	Tag	TaggedSentence
* The Go Daddy Group - the Internet registrar best known for cheeky, controversial ads - has hired Morgan Stanley and JPMorgan Chase to coordinate a stock sale that could take place later this year, a person briefed on the matter told the New York Times on Wednesday.	VNSP	* The Go <ORG>addy Group - the Internet registrar best known for cheeky, controversial ads - has hired <ORG> and <ORG> to coordinate a stock sale that could take place later this year, a person briefed on the matter told the <ORG> on Wednesday.
NTPC for instance could be asked to buy shares in Coal India , and the government hopes this cross selling will enable companies to provide valuable suggestions to each other and share business plans apart from ensuring that the entire cash raised through this process goes to the centre.	ACQ	<ORG> for instance could be asked to buy shares in <ORG> , and the government hopes this cross selling will enable companies to provide valuable suggestions to each other and share business plans apart from ensuring that the entire cash raised through this process goes to the centre.
Tata Consultancy Services (TCS) had recruited as a consultant, one Professor P C Kapur, who had retired from IIT Kanpur and who had done some pioneering work on waste materials, including the adsorptive and anti-microbial properties of rice husk ash (RHA).	JOB	<ORG> Consultancy Services (<ORG>) had recruited as a consultant, one Professor <PER>, who had retired from <ORG> and who had done some pioneering work on waste materials, including the adsorptive and anti-microbial properties of rice husk ash (RHA).
The question holds significance in the light of investors' call for Bill Gates to step down as Microsoft chairman	JOB	The question holds significance in the light of investors' call for <PER> to step down as <ORG> chairman
Most organisations do not last even two generations, let alone evolve themselves to become lasting institutions.	NJOB	Most organisations do not last even two generations, let alone evolve themselves to become lasting institutions.
HOW SUZLON LANDED IN CDR Suzlon's troubles began nearly a decade ago after the Pune-based company went ahead with two international acquisitions: Belgian gearbox maker Hansen Transmissions in 2006 and REpower in 2007.	ACQ	HOW SUZLON LAN<ORG>E<ORG> IN <ORG> <ORG>'s troubles began nearly a decade ago after the <LOC>-based company went ahead with two international acquisitions: Belgian gearbox maker <ORG> in 2006 and REpower in 2007.
N R Narayana Murthy's return to Infosys last year, with son Rohan in tow, was cheered unequivocally by investors, but it also caused many senior leaders to depart.	JOB	N R <PER>'s return to <ORG> last year, with son <PER> in tow, was cheered unequivocally by investors, but it also caused many senior leaders to depart.
The report also quoted some Microsoft board members as saying they didn't push Ballmer to step down but they were pushing him damn hard to go faster on change.	JOB	The report also quoted some <ORG> board members as saying they didn't push Ballmer to step down but they were pushing him damn hard to go faster on change.
UTI MF appoints Kaeley as group president, sales &amp; marketing	JOB	UTI MF appoints Kaeley as group president, sales &amp; marketing
UTI Mutual Fund has appointed Suraj Kaeley as the group president (sales & marketing).	JOB	<ORG> has appointed <PER> as the group president (sales & marketing).
IIFL AMC appoints Prashasta Seth as CEO	JOB	<ORG> appoints <PER> as CEO
India Infoline Asset Management Company today appointed Prashasta Seth as its chief executive.	JOB	<LOC> Infoline Asset Management Company today appointed <PER> as its chief executive.
Nesselhauf to be Daimler India CV's MD &amp; CEO	JOB	Nesselhauf to be <ORG>aimler <LOC> CV's M<ORG> &amp; CEO
Daimler Trucks today announced top level management changes with Erich Nesselhauf set to take over as Managing Director and CEO at Daimler India Commercial Vehicles from June 1.	JOB	<ORG>aimler Trucks today announced top level management changes with <PER> set to take over as Managing <ORG>irector and CEO at <ORG> from June 1.
Currently Vice President-Supply Chain at DICV, he will replace Marc Llistosella, who takes over as Trucks Asia and DICV Head Marketing, Sales and After-sales with effect from June 1, the company said in a statement.	JOB	Currently Vice President-Supply Chain at <ORG>, he will replace Marc <LOC>, who takes over as Trucks <LOC> and <ORG> Head Marketing, Sales and After-sales with effect from June 1, the company said in a statement.
Albanese, 56, has already been appointed the CEO of Vedanta Resources Plc - the group's parent firm - from April 1.	JOB	Albanese, 56, has already been appointed the CEO of <ORG> Plc - the group's parent firm - from April 1.
Anil Agarwal is Sesa's chairman emeritus	JOB	<PER> is Sesa's chairman emeritus
Company's Executive Vice Chairman Navin Agarwal will takeover as Chairman	JOB	Company's Executive Vice Chairman <PER> will takeover as Chairman
In a major overhaul of its Board, Vedanta group firm Sesa Sterlite today said its Non-executive Chairman Anil Agarwal will now become Chairman Emeritus and play the role of Chief Mentor.	JOB	In a major overhaul of its <ORG>, <ORG> today said its Non-executive Chairman <PER> will now become Chairman Emeritus and play the role of Chief Mentor.
Among the new members of the Sesa Sterlite Board, Naresh Chandra is an ex-Cabinet Secretary to the Government of India, while Lalita Gupte, a former Joint MD of ICICI Bank, currently heads ICICI Venture Funds Management Company Ltd.	JOB	Among the new members of the <ORG>, <PER> is an ex-<ORG> Secretary to the Government of <LOC>, while <PER>, a former Joint M<ORG> of <ORG>, currently heads ICICI Venture Funds Management Company Ltd.
The announcement has already triggered a buzz in industry circles whether Anil Agarwal is considering to become Non- Executive Chairman of Vedanta Resources as well.	JOB	The announcement has already triggered a buzz in industry circles whether <PER> is considering to become Non- Executive Chairman of <ORG> as well.
Tata was also instrumental in signing a franchisee agreement with UKâ€™s Tesco to provide back-end support for Trentâ€™s Star Bazaar stores.	VNSP	<ORG> was also instrumental in signing a franchisee agreement with <LOC>â€™s <ORG> to provide back-end support for <PER>â€™s <ORG> stores.
He succeeds F K Kavarana, who retired from the Tata group after turning 70 this month.	JOB	He succeeds <PER>, who retired from the <ORG> group after turning 70 this month.
The son-in-law of Pallonji Mistry, the largest single shareholder of Tata Sons with 18.5 per cent equity, he was earlier expected to take over as group chairman after Ratan Tata Noel was the managing director of Trent from 1999, a post he relinquished in 2010 to become the vice-chairman.	JOB	The son-in-law of Pallonji Mistry, the largest single shareholder of <ORG> Sons with 18.5 per cent equity, he was earlier expected to take over as group chairman after Ratan <ORG> Noel was the managing director of <PER> from 1999, a post he relinquished in 2010 to become the vice-chairman.
Noel Tata takes over as Trent boss	JOB	Noel <ORG> takes over as <PER> boss
Noel Naval Tata, brother-in-law of Tata group Chairman Cyrus Mistry , has taken over as the chairman of retail arm Trent .	JOB	Noel Naval <ORG>, brother-in-law of <ORG> group Chairman <PER> , has taken over as the chairman of retail arm <PER> .
However, it is not because he is finding heading one of India's largest home-grown FMCG companies too hot to handle but because of a change in address of Marico's headquarters which is now farther away from his home.	JOB	However, it is not because he is finding heading one of <LOC>'s largest home-grown <ORG> companies too hot to handle but because of a change in address of <ORG>'s headquarters which is now farther away from his home.
Marico's promoter, Harsh Mariwala, who stepped down as managing director early this week, says he would have to scale up value-added segments.	JOB	<ORG>'s promoter, <PER>, who stepped down as managing director early this week, says he would have to scale up value-added segments.
"Gautam Sengupta, his first boss at Cadbury who left Zee Television as executive vice-president before launching his own retail consultancy, says, ""Very few good guys make it past the glass ceiling in the corporate world, Saugata is an exception."	JOB	"<PER>, his first boss at <ORG> who left <ORG> as executive vice-president before launching his own retail consultancy, says, ""Very few good guys make it past the glass ceiling in the corporate world, Saugata is an exception."
Ajay Shriram takes over as new CII President	JOB	Ajay <ORG> takes over as new <ORG> President
Industry body CII has elected Chairman and senior Managing Director of DCM Shriram Limited Ajay Shriram as its President.	JOB	Industry body <ORG> has elected Chairman and senior Managing <ORG>irector of <ORG> as its President.
Besides, Vice Chairman & Managing Director of TIL Ltd Sumit Mazumder has been appointed the President Designate of CII for 2014-15.	JOB	Besides, Vice Chairman & Managing <ORG>irector of TIL Ltd <PER> has been appointed the President <ORG>esignate of <ORG> for 2014-15.
He had spent three years developing the company's beauty salon service arm, Kaya Skin Clinic, and left at a time when Marico's founder, Harsh, was chalking out a succession plan.	JOB	He had spent three years developing the company's beauty salon service arm, <ORG>, and left at a time when <ORG>'s founder, Harsh, was chalking out a succession plan.
He took a leadership position at Bajaj Auto after gaining experience at junior levels.	JOB	He took a leadership position at <ORG> after gaining experience at junior levels.
Saugata Gupta to take over as MD of Marico	JOB	<PER> to take over as M<ORG> of <ORG>
Saugata Gupta, CEO, Marico, will take over as the MD of the company effective April 1.	JOB	<PER>, CEO, <ORG>, will take over as the M<ORG> of the company effective April 1.
Saugata Gupta , CEO, Marico , will take over as the MD of the company effective April 1.   Harsh Mariwala will remain the chairman of the company, Marico said today.	JOB	<PER> , CEO, <ORG> , will take over as the M<ORG> of the company effective April 1.   <PER> will remain the chairman of the company, <ORG> said today.
Milind Sarwate, who was the group CFO of Marico, has already resigned paving the way for deputy Vivek Karve, executive vice-president and head of corporate finance, to take over.	JOB	<PER>, who was the group CFO of <ORG>, has already resigned paving the way for deputy <PER>, executive vice-president and head of corporate finance, to take over.
Ruia's public comment on Left Front government's state Industry Minister Nirupam Sen, soon after the Dunlop acquisition might be recalled in this regard.	ACQ	Ruia's public comment on <ORG> government's state Industry Minister Nirupam Sen, soon after the <ORG> acquisition might be recalled in this regard.
Following his acquisition of Dunlop in 2005 from Manohar Rajaram Chhabriaâ€™s Jumbo group, Ruia successfully took Dunlop out of the purview of the Board for Industrial and Financial Reconstruction (BIFR) in 2007 by re-evaluating its fixed assets and later relisted its shares on the Bombay Stock Exchange in January 2010.	ACQ	Following his acquisition of <ORG> in 2005 from <PER>â€™s Jumbo group, Ruia successfully took <ORG> out of the purview of the <ORG> for Industrial and Financial Reconstruction (<ORG>) in 2007 by re-evaluating its fixed assets and later relisted its shares on the <ORG> in January 2010.
Anil Bhandari - the new Director (Exploration) of ONGC Videsh Ltd	JOB	<PER> - the new <ORG>irector (Exploration) of <ORG> Videsh Ltd
Responsibilities will include managing overseas exploration, opportunity evaluation among the rest	JOB	Responsibilities will include managing overseas exploration, opportunity evaluation among the rest
Anil Bhandari has taken over as Director (Exploration) of ONGC Videsh Ltd, the overseas arm of state-owned Oil and Natural Gas Corp (ONGC).	JOB	<PER> has taken over as <ORG>irector (Exploration) of <ORG> Videsh Ltd, the overseas arm of state-owned Oil and <ORG> (<ORG>).
An announcement elevating Suri may be made by March-end or April, when software giant Microsoft concludes the acquisition of Nokia's handset business, Finnish media reports suggest.	ACQ	An announcement elevating Suri may be made by March-end or April, when software giant <ORG> concludes the acquisition of <ORG>'s handset business, Finnish media reports suggest.
"Suri, who has headed Nokia Solutions and Networks (NSN) since October 2009, has been credited for ""presiding over consistently improving results leading to the successful turnaround and restructuring of the company."""	JOB	"Suri, who has headed <ORG> Solutions and Networks (<ORG>) since October 2009, has been credited for ""presiding over consistently improving results leading to the successful turnaround and restructuring of the company."""
In July last year, Nokia agreed to buy German engineering giant Siemens' 50% stake in their mobile broadband joint venture NSN for 1.7 billion euros ($2.2 billion) after which the firm was renamed Nokia Solutions and Networks.	ACQ	In July last year, <ORG> agreed to buy <LOC> engineering giant <ORG>' 50% stake in their mobile broadband joint venture <ORG> for 1.7 billion euros ($2.2 billion) after which the firm was renamed <ORG> Solutions and Networks.
Mangalore University graduate Rajeev Suri may head Nokia	JOB	<ORG> graduate <PER> may head <ORG>
After Satya Nadella, it may now be the turn of another Mangalore University graduate to head a Fortune 500 company.	JOB	After <PER>, it may now be the turn of another <ORG> graduate to head a <PER> 500 company.
"Hamied, (73) however, will continue to be the Vice- Chairman of the company in a non-executive role effective April 1. ""The board unanimously acknowledges the contribution of M K Hamied to the company over the past 30 years, and in deference to his wishes, has accepted his proposal to retire as Executive Vice-Chairman effective March 31,"" Cipla Ltd said in a filing to the BSE."	JOB	"<PER>, (73) however, will continue to be the Vice- Chairman of the company in a non-executive role effective April 1. ""The board unanimously acknowledges the contribution of M K <PER> to the company over the past 30 years, and in deference to his wishes, has accepted his proposal to retire as Executive Vice-Chairman effective March 31,"" <ORG> Ltd said in a filing to the BSE."
Airbus appoints Dwarakanath as India CEO, Champion as chairman	JOB	<ORG> appoints <ORG>warakanath as <LOC> CEO, Champion as chairman
Aircarft maker Airbus today said it has appointed Srinivasan Dwarakanath as Airbus India CEO and Charles Champion, who is EVP Airbus Engineering and member of the company's Executive Committee, as chairman.	JOB	<ORG> maker <ORG> today said it has appointed <PER>vasan <ORG>warakanath as <ORG> CEO and <PER>, who is EVP <ORG> Engineering and member of the company's <ORG>, as chairman.
Britannia MD Vinita Bali exercises stock options in Piramal Glass	ACQ	<ORG> exercises stock options in <ORG> Glass
Vinita Bali, managing director (MD), Britannia Industries, has exercised her stock options to buy shares in publicly-held Piramal Glass, part of the diversified Piramal Group.	ACQ	Vinita <LOC>, managing director (M<ORG>), <ORG>, has exercised her stock options to buy shares in publicly-held <ORG> Glass, part of the diversified <ORG>.
The Bank has announced the management changed to National Stock Exchange ...	JOB	The <ORG> has announced the management changed to <ORG> ...
K S R Anjaneyulu has stepped down as the Managing Director and Chief Executive Officer of Lakshmi Vilas Bank Limited.	JOB	K S R <LOC> has stepped down as the Managing <ORG>irector and Chief Executive <ORG>r of <LOC> Vilas <ORG> Limited.
"""Mahesh Kodumudi, President and Managing Director, Volkswagen India Private Limited, is appointed Group Chief Representative for the Volkswagen Group in India with immediate effect,"" the statement said."	JOB	"""<LOC>, President and Managing <ORG>irector, <ORG>, is appointed Group Chief Representative for the <ORG> Group in <LOC> with immediate effect,"" the statement said."
Saxena, who led the Volkswagen Passenger Cars Division as Director for the last 18 months, has resigned and joined General Motors as President & Managing Director of its Indian unit.	JOB	Saxena, who led the <ORG> as <ORG>irector for the last 18 months, has resigned and joined <ORG> as President & Managing <ORG>irector of its <LOC>n unit.
Volkswagen appoints Kodumudi India group chief representative	JOB	<ORG> appoints <ORG> group chief representative
German auto major Volkswagen has appointed Mahesh Kodumudi, the President and MD of Volkswagen India Pvt Ltd, as Group Chief Representative in India with immediate effect.	JOB	<LOC> auto major <ORG> has appointed <LOC>, the President and M<ORG> of <ORG> <LOC> Pvt Ltd, as Group Chief Representative in <LOC> with immediate effect.
Moreover, Thierry Lespiaucq will take over as Managing Director of Volkswagen Group Sales India with effect from May 1 this year, the company said in a statement.	JOB	Moreover, <PER> will take over as Managing <ORG>irector of <ORG> with effect from May 1 this year, the company said in a statement.
"Cairn Energy chief executive Simon Thomson said, ""Bill has been an exceptional leader and leaves a lasting legacy at Cairn."	JOB	"<ORG> chief executive <PER> said, ""<PER> has been an exceptional leader and leaves a lasting legacy at Cairn."
Bill Gammell to retire from Cairn Energy by mid-May	JOB	<PER> to retire from <ORG> by mid-May
Scottish explorer Cairn Energy plc today announced that its non-executive Chairman Bill Gammell will retire by mid-May.	JOB	<PER>ish explorer <ORG> plc today announced that its non-executive Chairman <PER> will retire by mid-May.
"""Gammell will retire as non-executive chairman of the company with effect from the conclusion of the company's AGM on May 15, 2014,"" Cairn Energy said in a statement."	JOB	"""Gammell will retire as non-executive chairman of the company with effect from the conclusion of the company's <ORG> on May 15, 2014,"" <ORG> said in a statement."
He had led Cairn Energy into buying Barmer basin block in Rajasthan for $7 million from Royal Dutch Shell who thought it was dry with no hydrocarbons.	ACQ	He had led <ORG> into buying Barmer basin block in <LOC> for $7 million from <PER>al <ORG>utch <ORG> who thought it was dry with no hydrocarbons.
PNB MetLife appoints Tarun Chugh as managing director	JOB	<ORG> <ORG> appoints <PER> as managing director
Private insurance company PNB MetLife India Insurance has appointed Tarun Chugh as its managing director.	JOB	Private insurance company <ORG> <ORG> <LOC> Insurance has appointed <PER> as its managing director.
He replaces Rajesh Relan who has been appointed as MetLife's head of bancassurance for the Asia region.	JOB	He replaces <PER> who has been appointed as <ORG>'s head of bancassurance for the <LOC> region.
Commenting on the appointment, Harsha Viji, managing director of Sundaram Mutual said, â€œSubramaniam in so many ways embodies the Sundaram values, and I am delighted for him to join me as deputy CEO.	JOB	Commenting on the appointment, <PER>, managing director of <ORG> said, â€œSubramaniam in so many ways embodies the <PER> values, and I am delighted for him to join me as deputy CEO.
Sundaram Mutual elevates Sunil Subramaniam to deputy CEO	JOB	<ORG> elevates <PER> to deputy CEO
Sundaram Mutual has announced the appointment of Sunil Subramaniam as its deputy CEO.	JOB	<ORG> has announced the appointment of <PER> as its deputy CEO.
"Commenting on the appointment, Lupin Ltd Chief Executive Officer Vinita Gupta, said: ""Over the years, Lupin has recorded consistent growth across advanced markets like the US and Japan."	JOB	"Commenting on the appointment, <LOC> Ltd Chief Executive <ORG>r <PER>, said: ""Over the years, <LOC> has recorded consistent growth across advanced markets like the <LOC> and <LOC>."
Pharma major Lupin today appointed ex- Teva executive Maurice Chagnaud as its President, Europe and Head of Inhalation Strategy.	JOB	Pharma major <LOC> today appointed ex- <ORG> executive <PER> as its President, <LOC> and Head of Inhalation Strategy.
Prior to his appointment to Ashok Leyland, Mahadevan was CFO of engineering company Thermax Limited.	JOB	Prior to his appointment to <PER>, Mahadevan was CFO of engineering company <ORG>.
He later joined Sify Limited to head Mergers and Acquisitions, Legal and Nasdaq Compliances, following which he joined Amara Raja Batteries as Group CFO.	JOB	He later joined Sify Limited to head Mergers and Acquisitions, Legal and <ORG>, following which he joined <ORG> as Group CFO.
IESA President PVG Menon quits	JOB	<ORG> President <PER> quits
Electronics industry body IESA today said its President PVG Menon would step down next month.	JOB	Electronics industry body <ORG> today said its President <PER> would step down next month.
Sanjay Nayar of KKR joins Apollo Hopitals's Board	JOB	<PER> of KKR joins Apollo Hopitals's <ORG>
The Board of Directors of Apollo Hospitals Enterprise Ltd (AHEL) has approved appointment of Sanjay Nayar, head of private equity player KKR's Indian operations, as an additional director with effect from February 10, 2014 to hold office as an ...	JOB	The <ORG> of <ORG>irectors of Apollo Hospitals Enterprise Ltd (AHEL) has approved appointment of <PER>, head of private equity player KKR's <LOC>n operations, as an additional director with effect from February 10, 2014 to hold office as an ...
The Board of Directors of Apollo Hospitals Enterprise Ltd (AHEL)  has approved appointment of Sanjay Nayar, head of private equity player KKR's Indian operations, as an additional director with effect from February 10, 2014 to hold office as an independent director of the Company.	JOB	The <ORG> of <ORG>irectors of Apollo Hospitals Enterprise Ltd (AHEL)  has approved appointment of <PER>, head of private equity player KKR's <LOC>n operations, as an additional director with effect from February 10, 2014 to hold office as an independent director of the Company.
He then helped the Scottish company expand its Indian footprint, from the Cambay basin Gauri and Lakshmi field projects in Gujarat to the acquisition of Royal Dutch Shell's stake in the Rajasthan block in 1999-2000.	ACQ	He then helped the <PER>ish company expand its <LOC>n footprint, from the <LOC> basin <PER> and <LOC> field projects in <LOC> to the acquisition of <PER>al <ORG>utch <ORG>'s stake in the <LOC> block in 1999-2000.
Bhandari resigned from the position of Chairman of the Corporate Advisory Board of Cairn India.	JOB	Bhandari resigned from the position of Chairman of the Corporate Advisory <ORG> of <ORG>.
Syntel appoints Nitin Rakesh as CEO and President	JOB	Syntel appoints <PER> as CEO and President
Nasdaq-listed software firm Syntel has appointed Nitin Rakesh as the chief executive officer with effect from April 21, 2014.	JOB	<ORG>-listed software firm Syntel has appointed <PER> as the chief executive officer with effect from April 21, 2014.
"""The Company's Board of Directors has appointed Nitin Rakesh to the positions of CEO and President, succeeding Mr. Ranade effective April 21, 2014,"" Syntel said in a statement."	JOB	"""<ORG>'s <ORG> of <ORG>irectors has appointed <PER> to the positions of CEO and President, succeeding Mr. <PER>de effective April 21, 2014,"" Syntel said in a statement."
SpiceJet appoints Kaneswaran Avili as CCO	JOB	SpiceJet appoints <LOC>swaran Avili as CCO
SpiceJet Ltd has appointed Kaneswaran Avili as its Chief Commercial Officer (CCO).	JOB	SpiceJet Ltd has appointed <LOC>swaran Avili as its Chief Commercial <ORG>r (CCO).
46-year-old Nadella, was yesterday named the new CEO of 78 billion USD tech giant Microsoft.	JOB	46-year-old Nadella, was yesterday named the new CEO of 78 billion <LOC><ORG> tech giant <ORG>.
Kiran Reddy congratulates Nadella	JOB	Kiran <PER> congratulates Nadella
Andhra Pradesh Chief Minister N Kiran Kumar Reddy today congratulated Satya Nadella on being appointed as the Chief Executive Officer of international software giant Microsoft.	JOB	<LOC> Chief Minister N Kiran <PER> <PER> today congratulated <PER> on being appointed as the Chief Executive <ORG>r of international software giant <ORG>.
Bill Gates steps up to new role as technology advisor	JOB	<PER> steps up to new role as technology advisor
Bill Gates has reportedly taken over a bigger role in Microsoft as technology advisor to Microsoft's new CEO Satya Nadella, after he stepped down as the company's chairman.	JOB	<PER> has reportedly taken over a bigger role in <ORG> as technology advisor to <ORG>'s new CEO <PER>, after he stepped down as the company's chairman.
The 46-year-old has previously headed Microsoft's Cloud and Enterprise group and is only the third chief executive to be appointed in the company's nearly forty-decade-old history.	JOB	The 46-year-old has previously headed <ORG>'s <ORG> group and is only the third chief executive to be appointed in the company's nearly forty-decade-old history.
Anshu Jain serves as co-CEO of Germany's Deutsche Bank, while Menezes last year took over as chief of UK-based liquor giant Diageo.	JOB	<PER> serves as co-CEO of <LOC>'s <ORG>, while <PER> last year took over as chief of <LOC>-based liquor giant <ORG>.
Ex-RPower CEO joins Punj Lloyd as Group CEO and director	JOB	Ex-RPower CEO joins <ORG> CEO and director
Diversified EPC conglomerate Punj Lloyd has appointed J P Chalasani as Director and Group Chief Executive Officer.	JOB	<ORG>iversified <ORG> conglomerate <LOC> has appointed J P <PER> as <ORG>irector and Group Chief Executive <ORG>r.
Nigel Harris replaces Joginder Singh as Ford India head	JOB	<PER> replaces Joginder <PER> as <ORG> head
Ford Motor Company today announced that Nigel Harris, vice president sales and service, Ford Asia Pacific, has been appointed as president, Ford India effective February, 1, 2014.	JOB	<ORG> today announced that <PER>, vice president sales and service, <ORG>, has been appointed as president, <ORG> effective February, 1, 2014.
In early 2012, he had replaced the CEO of the company, Sanjay Kapoor, to take charge of Bharti Airtel's India business as group director (special projects).	JOB	In early 2012, he had replaced the CEO of the company, <PER>, to take charge of <ORG> <ORG>'s <LOC> business as group director (special projects).
Tata Global Beverages names Ajoy Misra as new MD &amp; CEO	JOB	<ORG> Global Beverages names <PER> as new M<ORG> &amp; CEO
Tata Global Beverages Ltd (TGBL) has appointed Ajoy Misra as the managing director and chief executive with effect from April 1, 2014.	JOB	<ORG> Global Beverages Ltd (TGBL) has appointed <PER> as the managing director and chief executive with effect from April 1, 2014.
At present, Misra is the deputy CEO and executive director of Tata Global Beverages and will take charge of the new position on April 1, the company said in a statement.	JOB	At present, Misra is the deputy CEO and executive director of <ORG> Global Beverages and will take charge of the new position on April 1, the company said in a statement.
Before joining Tata Motors, Slym was the executive vice president, SGMW Motors, China (a General Motors Joint Venture).	VNSP	Before joining <ORG> Motors, Slym was the executive vice president, <ORG>, <LOC> (a <ORG> Joint Venture).
Slym, a British national, was hired in 2012 to revive Tata's flagging sales and market share in India.	JOB	Slym, a British national, was hired in 2012 to revive <ORG>'s flagging sales and market share in <LOC>.
While no formal proposal for extension to Butola, who retires at end of May, has been moved, the ministry is preparing to seek a one-year extension for Oil and Natural Gas Corp (ONGC) Chairman Sudhir Vasudeva who will be attaining superannuation age of 60 years next month end.	JOB	While no formal proposal for extension to <LOC>, who retires at end of May, has been moved, the ministry is preparing to seek a one-year extension for Oil and <ORG> (<ORG>) Chairman <PER> who will be attaining superannuation age of 60 years next month end.
Besides PESB selected chairman designate B Ashok (currently Executive Director retail sales in IOC) having no board experience, the case for extending Butola's service is more compelling because all the other six directors on board of the nation's largest oil firm are retiring in next one year.	JOB	Besides <ORG> selected chairman designate B <PER> (currently Executive <ORG>irector retail sales in <ORG>) having no board experience, the case for extending <LOC>'s service is more compelling because all the other six directors on board of the nation's largest oil firm are retiring in next one year.
Sarraf, 56, whose file for appointment as ONGC Chairman is now with the Cabinet Committee on Appointments (ACC) after both the CVC and the CBI cleared him, is the senior most director in ONGC.	JOB	Sarraf, 56, whose file for appointment as <ORG> Chairman is now with the <ORG> <ORG> on Appointments (<ORG>) after both the <ORG> and the <ORG> cleared him, is the senior most director in <ORG>.
Cipla appoints Sameer Goel as India Head	JOB	<ORG> appoints <PER> as <LOC> Head
Drug major Cipla today announced the appointment of Sameer Goel as Country Head - India, with effect from today.	JOB	<ORG>rug major <ORG> today announced the appointment of <PER> as Country Head - <LOC>, with effect from today.
"""This appointment signals the continuation of Cipla's strategy of strengthening the highly experienced senior management team and showing our strong determination to increase the market share in India,"" Saxena said in a statement."	JOB	"""This appointment signals the continuation of <ORG>'s strategy of strengthening the highly experienced senior management team and showing our strong determination to increase the market share in <LOC>,"" Saxena said in a statement."
In 2009, Nilekani had resigned from the post of Chief Executive Officer of Infosys, which was believed to be one of the most high-profile jobs in India.	JOB	In 2009, Nilekani had resigned from the post of Chief Executive <ORG>r of <ORG>, which was believed to be one of the most high-profile jobs in <LOC>.
Vineet Nayar steps down from HCL Tech board	JOB	<ORG>et Nayar steps down from <ORG> board
Vineet Nayar, chief executive of HCL Technologies till January this year, has decided to step down from the board of the company.	JOB	<ORG>et Nayar, chief executive of <ORG>nologies till January this year, has decided to step down from the board of the company.
Earlier this year, Nayar had stepped down from the chief executive officer (CEO)â€™s position to continue as vice-chairman and joint managing director of HCL Technologies till July this year and vice-chairman thereafter.	JOB	Earlier this year, Nayar had stepped down from the chief executive officer (CEO)â€™s position to continue as vice-chairman and joint managing director of <ORG>nologies till July this year and vice-chairman thereafter.
Nayar has been appointed senior advisor to the company as well as HCL Corporation, the holding company of the HCL group.	JOB	Nayar has been appointed senior advisor to the company as well as <ORG>, the holding company of the HCL group.
â€œI also hope to continue to add value to both, HCL Technologies and HCL Corporation through my continued association.â€ Nayar, 51, was appointed CEO of HCL in 2007.	JOB	â€œI also hope to continue to add value to both, <ORG>nologies and <ORG> through my continued association.â€ Nayar, 51, was appointed CEO of HCL in 2007.
"As we continue with our aggressive Australian growth strategy the importance of this market opportunity is underlined by the calibre of today's new appointment,"" Tech Mahindra Head of Australia and New Zealand Bobby Gupta said."	JOB	"As we continue with our aggressive <LOC>n growth strategy the importance of this market opportunity is underlined by the calibre of today's new appointment,"" <ORG> Head of <LOC> and <LOC> <PER> said."
Tech Mahindra appoints John Hyslop as Wealth Management Head	JOB	<ORG> appoints <PER> as Wealth Management Head
IT firm Tech Mahindra today appointed John Hyslop as the Head of Wealth Management as part of efforts to strengthen its financial services business in Australia.	JOB	IT firm <ORG> today appointed <PER> as the Head of Wealth Management as part of efforts to strengthen its financial services business in <LOC>.
Globalfoundries appoints ex-Motorola chief as CEO	JOB	<ORG> appoints ex-<ORG> chief as CEO
Chip manufacturing company Globalfoundries has appointed former Motorola chief Sanjay Jha as its new Chief Executive Officer.	JOB	Chip manufacturing company <ORG> has appointed former <ORG> chief <PER> as its new Chief Executive <ORG>r.
According to the agreement, Sanjeev will take over as the vice-chairman of Hypo Alpe-Adria-Bank.	JOB	According to the agreement, Sanjeev will take over as the vice-chairman of Hypo <LOC>-<ORG>.
Following U N Mehtaâ€™s death, his elder son Sudhir took over as chairman of the group in 1998.	JOB	Following <ORG>â€™s death, his elder son Sudhir took over as chairman of the group in 1998.
In 1991, when the Union government allowed private sector participation in the power sector, Sudhir started buying Ahmedabad Electricity Company Ltd and Surat Electricity Company Ltd shares, finally acquiring majority stakes in these by the late 90s.	ACQ	In 1991, when the <ORG> government allowed private sector participation in the power sector, Sudhir started buying <LOC> Electricity Company Ltd and <LOC> Electricity Company Ltd shares, finally acquiring majority stakes in these by the late 90s.
Mahindra Holidays appoints S Krishnan as new CFO	JOB	<ORG> appoints S <PER> as new CFO
Mahindra Holidays & Resorts India Ltd has appointed S Krishnan as Chief Financial Officer (CFO) of the company with effect from January 1, 2014.	JOB	<ORG> & Resorts <LOC> Ltd has appointed S <PER> as Chief Financial <ORG>r (CFO) of the company with effect from January 1, 2014.
Incumbent Som retired from NMDC on December 31, 2011, after attaining the age of superannuation.	JOB	Incumbent Som retired from <ORG> on <ORG>ecember 31, 2011, after attaining the age of superannuation.
Narendra Kothari to be NMDC's new CMD	JOB	Narendra <LOC> to be <ORG>'s new <ORG>
Narendra Kothari, currently CEO of SAIL's Burnpur plant, will take over as the new Chairman and Managing Director of state-run iron ore producer NMDC, which is running without a full-time head for the last two years.	JOB	Narendra <LOC>, currently CEO of SAIL's <LOC> plant, will take over as the new Chairman and Managing <ORG>irector of state-run iron ore producer <ORG>, which is running without a full-time head for the last two years.
Besides, Achal Kumar Gupta has been appointed as Deputy Managing Director of the company, IFCI said in a statement.	JOB	Besides, <PER> has been appointed as <ORG>eputy Managing <ORG>irector of the company, I<ORG>I said in a statement.
