Sentence	Tag	TaggedSentence
THE MAN & HIS WAYS * Lee Kun-hee is chairman of the Samsung group, South Koreaâ€™s largest conglomerate with revenue of about 20% of the countryâ€™s GDP * $12 billion: Leeâ€™s  estimated net worth * Controversial past: Lee had resigned as Samsung chairman in 2008 on being found involved in a graft scandal.	JOB	<PER> is chairman of the <ORG> group, <LOC>'s largest conglomerate with revenue of about 20% of the country's GDP. $12 billion: <PER>  estimated net worth. Controversial past: <PER> had resigned as <ORG> chairman in 2008 on being found involved in a graft scandal.
The government launched the unique identity, or Aadhaar, project in 2009 and appointed former Infosys chief and co-founder Nandan Nilekani to head it.	JOB	The government launched the unique identity, or Adhar, project in 2009 and appointed former <ORG> chief and co-founder <PER> to head it.
Ranbaxy gets a new owner	ACQ	<ORG> gets a new owner
Sun Pharma's Director shows India's pharma story may not be over	ACQ	<ORG>'s Director shows <LOC>'s pharma story may not be over
Daiichi Sankyo of Japan had bought the Singh family's 34.8 per cent stake in Ranbaxy Laboratories for $2.4 billion in mid-2008, which put a value of $6.9 billion on the Indian drug maker.	ACQ	<ORG> of <LOC> had bought the <PER> family's 34.8 per cent stake in <ORG> for $2.4 billion in mid-2008, which put a value of $6.9 billion on the <LOC>n drug maker.
The acquisition of Ranbaxy by Sun Pharmaceutical Industries for $3.2 billion (about Rs 19,200 crore at the current exchange rate) in stock, an announcement for which was made on Monday, means the company has shed more than half its value in less than six years.	ACQ	The acquisition of <ORG> by <ORG> for $3.2 billion (about Rs 19,200 crore at the current exchange rate) in stock, an announcement for which was made on Monday, means the company has shed more than half its value in less than six years.
The term of the SC appointed Monitoring Committee to supervise e-auctions ends on April 12, 2014	NJOB	<ORG> appointed <PER> to supervise e-auctions ends on April 12, 2014
Having studied in Harvard University and Stanford University, he has also worked as an investment banker in Merrill Lynch and Morgan Stanley prior to joining politics.	ACQ	Having studied in <ORG> and <ORG>, <PER> has also worked as an investment banker in <ORG> and <ORG> prior to joining politics.
These CEOs have not only defied the economic slowdown, but their companies have actually come out stronger from the macroeconomic storm that India Inc has faced since late 2008.	NNC	These CEOs have not only defied the economic slowdown, but their companies have actually come out stronger from the macroeconomic storm that <LOC> Inc has faced since late 2008.
In the commercial vehicles business, it split the risk in a highly competitive market by demerging the CV business in an equal joint venture with Volvo - VE Commercial Vehicle - five years back.	VNSP	In the commercial vehicles business, it split the risk in a highly competitive market by demerging the CV business in an equal joint venture with <ORG> - <ORG> - five years back.
A similar transformation is visible in Tata Motors following its acquisition of Jaguar Land Rover in 2008.	ACQ	A similar transformation is visible in <ORG> following its acquisition of <ORG> in 2008.
Starting with Knoll Pharma's bulk drug plant in 1996, Sun Pharma has made 17 acquisitions, in addition to a joint venture with MSD - one of the world's top pharma companies - for product marketing in emerging markets.	ACQ	Starting with <ORG>'s bulk drug plant in 1996, <ORG> has made 17 acquisitions, in addition to a joint venture with <ORG> - one of the world's top pharma companies - for product marketing in emerging markets.
Its Israeli subsidiary, Taro Pharmaceutical, in which it took a majority stake in 2010, now accounts for one-third of Sun Pharma's revenues on a consolidated basis, and nearly a quarter of its profits.	ACQ	Its <LOC>i subsidiary, <ORG>, in which it took a majority stake in 2010, now accounts for one-third of <ORG>'s revenues on a consolidated basis, and nearly a quarter of its profits.
In 2006, M Damodaran, then Sebi chief, reached out to the National Law School to recruit well-trained lawyers.	NJOB	In 2006, <PER>, then Sebi chief, reached out to the <ORG> to recruit well-trained lawyers.
This rule, laid down by the Supreme Court when it was earlier Directoring with the appointment of temporary, daily wage workers, would equally apply to public sector bank employees, who are mandated to carry out tasks that require much higher skill and expertise.	NJOB	This rule, laid down by the <ORG> when it was earlier Directoring with the appointment of temporary, daily wage workers, would equally apply to <ORG> employees, who are mandated to carry out tasks that require much higher skill and expertise.
And the reason why companies voluntarily do CSR is that shareholders do not fire the managers who use the shareholders' money to do these activities but want their company to do them.	NJOB	And the reason why companies voluntarily do <ORG> is that shareholders do not fire the managers who use the shareholders' money to do these activities but want their company to do them.
And then there were examples of Tata Steel informing the Bombay Stock Exchange about a proposed restructuring in its European subsidiary that could lead to the loss of around 500 jobs.	NJOB	And then there were examples of <ORG> informing the <ORG> about a proposed restructuring in its European subsidiary that could lead to the loss of around 500 jobs.
Shyamal Majumdar: The hiring mirage	NJOB	<PER>: The hiring mirage
If you go back in history, aside of Maruti, Coal India is perhaps the only big company in the country say experts,where an independent director - Samir Barua, openly challenged key decisions made by the management of the PSU miner like its bid to sign FSAs (fuel supply agreements) with private power companies.	NVNSP	If you go back in history, aside of <ORG>, <ORG> is perhaps the only big company in the country say experts,where an independent director - <PER>, openly challenged key decisions made by the management of the PSU miner like its bid to sign FSAs (fuel supply agreements) with private power companies.
Avirup Bose: Why India's antitrust body should scrutinise the WhatsApp buy	ACQ	<PER> : Why <LOC>'s antitrust body should scrutinise the <ORG> buy
Even if Facebook's purchase does not cross the prescribed thresholds, the Competition Commission can still examine a Director that could lessen competition in the Indian market and affect about 130 million customers	ACQ	Even if <ORG>'s purchase does not cross the prescribed thresholds, the Competition <ORG> can still examine a Director that could lessen competition in the <LOC>n market and affect about 130 million customers
The $19-billion proposed acquisition of WhatsApp by Facebook should be scrutinised by the Indian antitrust regulator, the Competition Commission of India (CCI).	ACQ	The $19-billion proposed acquisition of <ORG> by <ORG> should be scrutinised by the <LOC>n antitrust regulator, the <ORG> (<ORG>).
Much as Bachchan's open candor might have left Pepsi 'saddened' and cringing in embarrassment, the truth is that cola giants are all too aware of the trying times ahead of them as more and more girls (and boys) think like the little girl in Jaipur whose remark led Bachchan to purportedly stop endorsing Pepsi.	NJOB	Much as <PER> open candor might have left <ORG> 'saddened' and cringing in embarrassment, the truth is that cola giants are all too aware of the trying times ahead of them as more and more girls (and boys) think like the little girl in <LOC> whose remark led Bachchan to purportedly stop endorsing <ORG>.
The PESB selection process Directors only with executive appointments at PSUs.	NJOB	The <ORG> selection process Directors only with executive appointments at <ORG>s.
According to a report by McKinsey, 60 to 90 per cent of the deputy general managers/general managers at PSU banks are set to retire by 2016-17.	NJOB	According to a report by <ORG>, 60 to 90 per cent of the deputy general managers/general managers at <ORG> banks are set to retire by 2016-17.
PSU banks are aware of this data that indicate a wafer-thin leadership pipeline, partly caused by the freeze on recruiting probationary officers through the 1990s.	NJOB	<ORG> banks are aware of this data that indicate a wafer-thin leadership pipeline, partly caused by the freeze on recruiting probationary officers through the 1990s.
Osterloh, who was responsible for the delivery of software and operation of the Android platform at Motorola, joined the company seven years ago and left for a 2-year stint in between at Skype.	JOB	<PER>, who was responsible for the delivery of software and operation of the Andriod platform at <ORG>, joined the company seven years ago and left for a 2-year stint in between at <ORG>.
Lenovo agreed to buy Google's Motorola handset division for $2.91 billion in January, in what was China's largest-ever tech Director.	ACQ	<ORG> agreed to buy <ORG>'s <ORG> handset division for $2.91 billion in January, in what was <LOC>'s largest-ever tech Director.
The appointment was made public on Wednesday on Motorola's official blog by Jonathan Rosenberg, who will continue in his role as Google liaison and adviser to Motorola through the transition period.	JOB	The appointment was made public on Wednesday on <ORG>'s official blog by <PER>, who will continue in his role as <ORG> liaison and adviser to <ORG> through the transition period.
Motorola Mobility names Rick Osterloh as COO ahead of Lenovo buy	ACQ	<ORG> names <PER> as COO ahead of <ORG> buy
April 10 (Reuters) - Motorola Mobility has named Rick Osterloh as its chief operating officer, reporting to the Motorola Operating Board at Google Inc until its acquisition by Lenovo Group Ltd is completed.	ACQ	<ORG> has named <PER> as its chief operating officer, reporting to the <ORG> at <ORG> until its acquisition by <ORG> is completed.
* Fast-food chicken chain El Pollo Loco Inc has selected investment banks Jefferies Group LLC and Morgan Stanley to lead an IPO of the private equity-owned company later this year, according to people familiar with the matter.	ACQ	Fast-food chicken chain <ORG> has selected investment banks <ORG> and <ORG> to lead an IPO of the private equity-owned company later this year, according to people familiar with the matter.
* India's Sun Pharmaceutical Industries Ltd plans to begin phasing out sales of generic drugs branded as Ranbaxy Laboratories Ltd products in the United States, after completing a $3.2 billion takeover of its loss-making rival by the year end, sources with direct knowledge of the matter said.	ACQ	<LOC>'s <ORG> Ltd plans to begin phasing out sales of generic drugs branded as <ORG> Ltd products in the <ORG> <ORG>s, after completing a $3.2 billion takeover of its loss-making rival by the year end, sources with direct knowledge of the matter said.
* The Go Daddy Group - the Internet registrar best known for cheeky, controversial ads - has hired Morgan Stanley and JPMorgan Chase to coordinate a stock sale that could take place later this year, a person briefed on the matter told the New York Times on Wednesday.	VNSP	The <ORG> - the Internet registrar best known for cheeky, controversial ads - has hired <ORG> and <ORG> to coordinate a stock sale that could take place later this year, a person briefed on the matter told the <ORG> on Wednesday.
NTPC for instance could be asked to buy shares in Coal India , and the government hopes this cross selling will enable companies to provide valuable suggestions to each other and share business plans apart from ensuring that the entire cash raised through this process goes to the centre.	ACQ	<ORG> for instance could be asked to buy shares in <ORG> , and the government hopes this cross selling will enable companies to provide valuable suggestions to each other and share business plans apart from ensuring that the entire cash raised through this process goes to the centre.
Tata Consultancy Services (TCS) had recruited as a consultant, one Professor P C Kapur, who had retired from IIT Kanpur and who had done some pioneering work on waste materials, including the adsorptive and anti-microbial properties of rice husk ash (RHA).	JOB	<ORG>(<ORG>) had recruited as a <PER> and <PER> who had retired from <ORG> and who had done some pioneering work on waste materials, including the adsorptive and anti-microbial properties of rice husk ash (RHA).
The question holds significance in the light of investors' call for Bill Gates to step down as Microsoft chairman	JOB	The question holds significance in the light of investors' call for <PER> to step down as <ORG> chairman
HOW SUZLON LANDED IN CDR Suzlon's troubles began nearly a decade ago after the Pune-based company went ahead with two international acquisitions: Belgian gearbox maker Hansen Transmissions in 2006 and REpower in 2007.	ACQ	HOW <ORG> LANDED IN CDN <ORG>'s troubles began nearly a decade ago after the <LOC>-based company went ahead with two international acquisitions: Belgian gearbox maker <ORG> in 2006 and <ORG> in 2007.
N R Narayana Murthy's return to Infosys last year, with son Rohan in tow, was cheered unequivocally by investors, but it also caused many senior leaders to depart.	JOB	<PER>'s return to <ORG> last year, with son <PER> in tow, was cheered unequivocally by investors, but it also caused many senior leaders to depart.
The report also quoted some Microsoft board members as saying they didn't push Ballmer to step down but they were pushing him damn hard to go faster on change.	JOB	The report also quoted some <ORG> board members as saying they didn't push <PER> to step down but they were pushing him damn hard to go faster on change.
UTI MF appoints Kaeley as group president, sales &amp; marketing	JOB	<ORG> appoints <PER> as group president, sales &amp; marketing
UTI Mutual Fund has appointed Suraj Kaeley as the group president (sales & marketing).	JOB	<ORG> has appointed <PER> as the group president (sales & marketing).
IIFL AMC appoints Prashasta Seth as CEO	JOB	<ORG> appoints <PER> as CEO
India Infoline Asset Management Company today appointed Prashasta Seth as its chief executive.	JOB	<ORG> today appointed <PER> as its chief executive.
Nesselhauf to be Daimler India CV's MD &amp; CEO	JOB	<PER> to be <ORG> MD & CEO
Daimler Trucks today announced top level management changes with Erich Nesselhauf set to take over as Managing Director and CEO at Daimler India Commercial Vehicles from June 1.	JOB	<ORG> today announced top level management changes with <PER> set to take over as Managing Director and CEO at <ORG> from June 1.
Currently Vice President-Supply Chain at DICV, he will replace Marc Llistosella, who takes over as Trucks Asia and DICV Head Marketing, Sales and After-sales with effect from June 1, the company said in a statement.	JOB	Currently Vice President of Supply Chain at <ORG>, he will replace  <PER>, who takes over as Trucks <LOC> and <ORG> Head Marketing, Sales and After-sales with effect from June 1, the company said in a statement.
Albanese, 56, has already been appointed the CEO of Vedanta Resources Plc - the group's parent firm - from April 1.	JOB	<PER>, 56, has already been appointed the CEO of <ORG>  - the group's parent firm - from April 1.
Anil Agarwal is Sesa's chairman emeritus	JOB	<PER> is Sesa's chairman emeritus
Company's Executive Vice Chairman Navin Agarwal will takeover as Chairman	JOB	Company's Executive Vice Chairman <PER> will takeover as Chairman
In a major overhaul of its Board, Vedanta group firm Sesa Sterlite today said its Non-executive Chairman Anil Agarwal will now become Chairman Emeritus and play the role of Chief Mentor.	JOB	In a major overhaul of its board, <ORG> firm <ORG> today said its Non-executive Chairman <PER> will now become Chairman Emeritus and play the role of Chief Mentor.
Among the new members of the Sesa Sterlite Board, Naresh Chandra is an ex-Cabinet Secretary to the Government of India, while Lalita Gupte, a former Joint MD of ICICI Bank, currently heads ICICI Venture Funds Management Company Ltd.	JOB	Among the new members of the <ORG>, <PER> is an ex-Cabinet Secretary to the <ORG>, while <PER>, a former Joint MD of <ORG>, currently heads <ORG>
The announcement has already triggered a buzz in industry circles whether Anil Agarwal is considering to become Non- Executive Chairman of Vedanta Resources as well.	JOB	The announcement has already triggered a buzz in industry circles whether <PER> is considering to become Non- Executive Chairman of <ORG> as well.
Tata was also instrumental in signing a franchisee agreement with UKâ€™s Tesco to provide back-end support for Trent's Star Bazaar stores.	VNSP	<ORG> was also instrumental in signing a franchisee agreement with <LOC>'s <ORG> to provide back-end support for <ORG>.
He succeeds F K Kavarana, who retired from the Tata group after turning 70 this month.	JOB	He succeeds <PER>, who retired from the <ORG> after turning 70 this month.
The son-in-law of Pallonji Mistry, the largest single shareholder of Tata Sons with 18.5 per cent equity, he was earlier expected to take over as group chairman after Ratan Tata Noel was the managing director of Trent from 1999, a post he relinquished in 2010 to become the vice-chairman.	JOB	The son-in-law of <PER>, the largest single shareholder of <ORG> Sons with 18.5 per cent equity, he was earlier expected to take over as group chairman after <PER> was the managing director of <ORG> from 1999, a post he relinquished in 2010 to become the vice-chairman.
Noel Tata takes over as Trent boss	JOB	<PER> takes over as <ORG> boss
Noel Naval Tata, brother-in-law of Tata group Chairman Cyrus Mistry , has taken over as the chairman of retail arm Trent .	JOB	<PER>, brother-in-law of <ORG> group Chairman <PER> , has taken over as the chairman of retail arm <ORG> .
However, it is not because he is finding heading one of India's largest home-grown FMCG companies too hot to handle but because of a change in address of Marico's headquarters which is now farther away from his home.	JOB	However, it is not because he is finding heading one of <LOC>'s largest home-grown <ORG> companies too hot to handle but because of a change in address of <ORG>'s headquarters which is now farther away from his home.
Marico's promoter, Harsh Mariwala, who stepped down as managing director early this week, says he would have to scale up value-added segments.	JOB	<ORG>'s promoter, <PER>, who stepped down as managing director early this week, says he would have to scale up value-added segments.
"Gautam Sengupta, his first boss at Cadbury who left Zee Television as executive vice-president before launching his own retail consultancy, says, ""Very few good guys make it past the glass ceiling in the corporate world, Saugata is an exception."	JOB	"<PER>, his first boss at <ORG> who left <ORG> as executive vice-president before launching his own retail consultancy, says, ""Very few good guys make it past the glass ceiling in the corporate world, <PER> is an exception."
Ajay Shriram takes over as new CII President	JOB	<PER> takes over as new <ORG> President
Industry body CII has elected Chairman and senior Managing Director of DCM Shriram Limited Ajay Shriram as its President.	JOB	Industry body <ORG> has elected Chairman and senior Managing DIRECTOR of <ORG> <PER> as its President.
Besides, Vice Chairman & Managing Director of TIL Ltd Sumit Mazumder has been appointed the President Designate of CII for 2014-15.	JOB	Besides, Vice Chairman & Managing Director of <ORG> <PER> has been appointed the President Designate of <ORG> for 2014-15.
He had spent three years developing the company's beauty salon service arm, Kaya Skin Clinic, and left at a time when Marico's founder, Harsh, was chalking out a succession plan.	JOB	He had spent three years developing the company's beauty salon service arm, <ORG>, and left at a time when <ORG>'s founder, <PER>, was chalking out a succession plan.
He took a leadership position at Bajaj Auto after gaining experience at junior levels.	JOB	He took a leadership position at <ORG> after gaining experience at junior levels.
Saugata Gupta, CEO, Marico, will take over as the MD of the company effective April 1.	JOB	<PER>, CEO, <ORG>, will take over as the MD of the company effective April 1.
Saugata Gupta , CEO, Marico , will take over as the MD of the company effective April 1.   Harsh Mariwala will remain the chairman of the company, Marico said today.	JOB	<PER> , CEO, <ORG> , will take over as the MD of the company effective April 1.   <PER> will remain the chairman of the company, <ORG> said today.
Milind Sarwate, who was the group CFO of Marico, has already resigned paving the way for deputy Vivek Karve, executive vice-president and head of corporate finance, to take over.	JOB	<PER>, who was the group CFO of <ORG>, has already resigned paving the way for deputy <PER>, executive vice-president and head of corporate finance, to take over.
Ruia's public comment on Left Front government's state Industry Minister Nirupam Sen, soon after the Dunlop acquisition might be recalled in this regard.	ACQ	<PER> public comment on Left Front government's state Industry Minister  <PER>, soon after the <ORG> acquisition might be recalled in this regard.
Following his acquisition of Dunlop in 2005 from Manohar Rajaram Chhabriaâ€™s Jumbo group, Ruia successfully took Dunlop out of the purview of the Board for Industrial and Financial Reconstruction (BIFR) in 2007 by re-evaluating its fixed assets and later relisted its shares on the Bombay Stock Exchange in January 2010.	ACQ	Following his acquisition of <ORG> in 2005 from <PER>â€™s Jumbo group, Ruia successfully took <ORG> out of the purview of the <ORG> for Industrial and Financial Reconstruction (<ORG>) in 2007 by re-evaluating its fixed assets and later relisted its shares on the <ORG> in January 2010.
Anil Bhandari - the new Director (Exploration) of ONGC Videsh Ltd	JOB	<PER> - the new Director (Exploration) of <ORG>.
Anil Bhandari has taken over as Director (Exploration) of ONGC Videsh Ltd, the overseas arm of state-owned Oil and Natural Gas Corp (ONGC).	JOB	<PER> has taken over as Director (Exploration) of <ORG> the overseas arm of state-owned <ORG> (<ORG>).
An announcement elevating Suri may be made by March-end or April, when software giant Microsoft concludes the acquisition of Nokia's handset business, Finnish media reports suggest.	ACQ	An announcement elevating <PER> may be made by March-end or April, when software giant <ORG> concludes the acquisition of <ORG>'s handset business, Finnish media reports suggest.
"Suri, who has headed Nokia Solutions and Networks (NSN) since October 2009, has been credited for ""presiding over consistently improving results leading to the successful turnaround and restructuring of the company."""	JOB	"<PER>, who has headed <ORG> (<ORG>) since October 2009, has been credited for ""presiding over consistently improving results leading to the successful turnaround and restructuring of the company."""
In July last year, Nokia agreed to buy German engineering giant Siemens' 50% stake in their mobile broadband joint venture NSN for 1.7 billion euros ($2.2 billion) after which the firm was renamed Nokia Solutions and Networks.	ACQ	In July last year, <ORG> agreed to buy <LOC> engineering giant <ORG>' 50% stake in their mobile broadband joint venture <ORG> for 1.7 billion euros ($2.2 billion) after which the firm was renamed <ORG> .
Mangalore University graduate Rajeev Suri may head Nokia	JOB	<ORG> graduate <PER> may head <ORG>
After Satya Nadella, it may now be the turn of another Mangalore University graduate to head a Fortune 500 company.	JOB	After <PER>, it may now be the turn of another <ORG> graduate to head a Fortune 500 company.
"Hamied, (73) however, will continue to be the Vice- Chairman of the company in a non-executive role effective April 1. ""The board unanimously acknowledges the contribution of M K Hamied to the company over the past 30 years, and in deference to his wishes, has accepted his proposal to retire as Executive Vice-Chairman effective March 31,"" Cipla Ltd said in a filing to the BSE."	JOB	"<PER>, (73) however, will continue to be the Vice- Chairman of the company in a non-executive role effective April 1. ""The board unanimously acknowledges the contribution of <PER> to the company over the past 30 years, and in deference to his wishes, has accepted his proposal to retire as Executive Vice-Chairman effective March 31,"" <ORG>  said in a filing to the <ORG>.."
Airbus appoints Dwarakanath as India CEO, Champion as chairman	JOB	<ORG> appoints <PER> as <LOC> CEO, <PER> as chairman
Aircarft maker Airbus today said it has appointed Srinivasan Dwarakanath as Airbus India CEO and Charles Champion, who is EVP Airbus Engineering and member of the company's Executive Committee, as chairman.	JOB	Aircraft maker <ORG> today said it has appointed <PER>  as <ORG> CEO and <PER>, who is EVP <ORG> Engineering and member of the company's Executive Committee as chairman.
Britannia MD Vinita Bali exercises stock options in Piramal Glass	ACQ	<ORG> MD <PER> exercises stock options in <ORG> 
Vinita Bali, managing director (MD), Britannia Industries, has exercised her stock options to buy shares in publicly-held Piramal Glass, part of the diversified Piramal Group.	ACQ	<PER>, managing director (MD), <ORG> industries, has exercised her stock options to buy shares in publicly-held <ORG> , part of the diversified <ORG>.
The Bank has announced the management changed to National Stock Exchange ...	JOB	K S R <LOC> has stepped down as the Managing Director and Chief Executive officer of <LOC> Vilas <ORG> Limited.
K S R Anjaneyulu has stepped down as the Managing Director and Chief Executive Officer of Lakshmi Vilas Bank Limited.	JOB	<PER> has stepped down as the Managing Director and Chief Executive officer of <ORG>.
"""Mahesh Kodumudi, President and Managing Director, Volkswagen India Private Limited, is appointed Group Chief Representative for the Volkswagen Group in India with immediate effect,"" the statement said."	JOB	"<PER>, President and Managing Director, <ORG>, is appointed Group Chief Representative for the <ORG> Group in <LOC> with immediate effect,"" the statement said."
Saxena, who led the Volkswagen Passenger Cars Division as Director for the last 18 months, has resigned and joined General Motors as President & Managing Director of its Indian unit.	JOB	<PER>, who led the <ORG> passenger cars Division as Director for the last 18 months, has resigned and joined <ORG> as President & Managing Director of its <LOC> unit.
Volkswagen appoints Kodumudi India group chief representative	JOB	<ORG> appoints <PER> as chief representative
German auto major Volkswagen has appointed Mahesh Kodumudi, the President and MD of Volkswagen India Pvt Ltd, as Group Chief Representative in India with immediate effect.	JOB	<LOC> auto major <ORG> has appointed <PER>, the President and MD of <ORG>, as Group Chief Representative in <LOC> with immediate effect.
Moreover, Thierry Lespiaucq will take over as Managing Director of Volkswagen Group Sales India with effect from May 1 this year, the company said in a statement.	JOB	Moreover, <PER> will take over as Managing Director of <ORG> with effect from May 1 this year, the company said in a statement.
"<ORG> Energy chief executive Simon Thomson said, ""Bill has been an exceptional leader and leaves a lasting legacy at <ORG>."	JOB	"<ORG> chief executive <PER> said, ""<PER> has been an exceptional leader and leaves a lasting legacy at <ORG>."
Bill Gammell to retire from <ORG> Energy by mid-May	JOB	<PER> to retire from <ORG> by mid-May
Scottish explorer <ORG> Energy plc today announced that its non-executive Chairman Bill Gammell will retire by mid-May.	JOB	<PER>ish explorer <ORG> plc today announced that its non-executive Chairman <PER> will retire by mid-May.
"""Gammell will retire as non-executive chairman of the company with effect from the conclusion of the company's AGM on May 15, 2014,"" <ORG> Energy said in a statement."	JOB	"<PER> will retire as non-executive chairman of the company with effect from the conclusion of the company's  on May 15, 2014,"" <ORG> said in a statement."
He had led <ORG> Energy into buying Barmer basin block in Rajasthan for $7 million from Royal Dutch Shell who thought it was dry with no hydrocarbons.	ACQ	He had led <ORG> into buying Barmer basin block in <LOC> for $7 million from  <ORG> who thought it was dry with no hydrocarbons.
PNB MetLife appoints Tarun Chugh as managing director	JOB	<ORG>  appoints <PER> as managing director
Private insurance company PNB MetLife India Insurance has appointed Tarun Chugh as its managing director.	JOB	Private insurance company <ORG> has  appointed <PER> as its managing director.
He replaces Rajesh Relan who has been appointed as MetLife's head of bancassurance for the Asia region.	JOB	He replaces <PER> who has been appointed as <ORG>'s head of bancassurance for the <LOC> region.
Commenting on the appointment, Harsha Viji, managing director of Sundaram Mutual said, â€œSubramaniam in so many ways embodies the Sundaram values, and I am delighted for him to join me as deputy CEO.	JOB	Commenting on the appointment, <PER>, managing director of <ORG> said, <PER> in so many ways embodies the <ORG> values, and I am delighted for him to join me as deputy CEO.
Sundaram Mutual elevates Sunil Subramaniam to deputy CEO	JOB	<ORG> elevates <PER> to deputy CEO
Sundaram Mutual has announced the appointment of Sunil Subramaniam as its deputy CEO.	JOB	<ORG> has announced the appointment of <PER> as its deputy CEO.
"Commenting on the appointment, Lupin Ltd Chief Executive Officer Vinita Gupta, said: ""Over the years, Lupin has recorded consistent growth across advanced markets like the US and Japan."	JOB	"Commenting on the appointment, <ORG> Chief Executive  <PER>, said: ""Over the years, <ORG> has recorded consistent growth across advanced markets like the <LOC> and <LOC>."
Pharma major Lupin today appointed ex- Teva executive Maurice Chagnaud as its President, Europe and Head of Inhalation Strategy.	JOB	Pharma major <ORG> today appointed ex- Teva executive <PER> as its President, <LOC> and Head of Inhalation Strategy.
Prior to his appointment to Ashok Leyland, Mahadevan was CFO of engineering company Thermax Limited.	JOB	Prior to his appointment to <ORG>, <PER> was CFO of engineering company <ORG>.
He later joined Sify Limited to head Mergers and Acquisitions, Legal and Nasdaq Compliances, following which he joined Amara Raja Batteries as Group CFO.	JOB	He later joined <ORG> to head Mergers and Acquisitions, Legal and <ORG>, following which he joined <ORG> as Group CFO.
IESA President PVG Menon quits	JOB	<ORG> President <PER> quits
Electronics industry body IESA today said its President PVG Menon would step down next month.	JOB	Electronics industry body <ORG> today said its President <PER> would step down next month.
Sanjay Nayar of KKR joins Apollo Hopitals's Board	JOB	<PER> of KKR joins <ORG>
The Board of Directors of Apollo Hospitals Enterprise Ltd (AHEL) has approved appointment of Sanjay Nayar, head of private equity player KKR's Indian operations, as an additional director with effect from February 10, 2014 to hold office as an ...	JOB	The Board of Directors of <ORG> (<ORG>) has approved appointment of <PER>, head of private equity player <ORG> <LOC>n operations, as an additional director with effect from February 10, 2014 to hold office as an ...
The Board of Directors of Apollo Hospitals Enterprise Ltd (AHEL)  has approved appointment of Sanjay Nayar, head of private equity player KKR's Indian operations, as an additional director with effect from February 10, 2014 to hold office as an independent director of the Company.	JOB	The Board of Directors of <ORG>  has approved appointment of <PER>, head of private equity player <ORG> <LOC>n operations, as an additional director with effect from February 10, 2014 to hold office as an independent director of the Company.
He then helped the Scottish company expand its Indian footprint, from the Cambay basin Gauri and Lakshmi field projects in Gujarat to the acquisition of Royal Dutch Shell's stake in the Rajasthan block in 1999-2000.	ACQ	He then helped the Scottish company expand its <LOC>n footprint, from the Combay basin Gowri and Lakshmi Projects in  and field projects in <LOC> to the acquisition of <ORG> stake in the <LOC> block in 1999-2000.
Bhandari resigned from the position of Chairman of the Corporate Advisory Board of <ORG> India.	JOB	<PER> resigned from the position of Chairman of the Corporate Advisory <ORG>.
Syntel appoints Nitin Rakesh as CEO and President	JOB	Syntel appoints <PER> as CEO and President
Nasdaq-listed software firm Syntel has appointed Nitin Rakesh as the chief executive officer with effect from April 21, 2014.	JOB	<ORG>-listed software firm Syntel has appointed <PER> as the chief executive officer with effect from April 21, 2014.
"""The Company's Board of Directors has appointed Nitin Rakesh to the positions of CEO and President, succeeding Mr. Ranade effective April 21, 2014,"" Syntel said in a statement."	JOB	"The Companies Board of Directors has appointed <PER> to the positions of CEO and President, succeeding Mr. <PER> effective April 21, 2014,"" Syntel said in a statement."
SpiceJet appoints Kaneswaran Avili as CCO	JOB	SpiceJet appoints <PER> as CCO
SpiceJet Ltd has appointed Kaneswaran Avili as its Chief Commercial Officer (CCO).	JOB	SpiceJet Ltd has appointed <PER> as its Chief Commercial officer (CCO).
46-year-old Nadella, was yesterday named the new CEO of 78 billion USD tech giant Microsoft.	JOB	46-year-old <PER>, was yesterday named the new CEO of 78 billion USD tech giant <ORG>.
Kiran Reddy congratulates Nadella	JOB	<PER> congratulates Nadella
Andhra Pradesh Chief Minister N Kiran Kumar Reddy today congratulated Satya Nadella on being appointed as the Chief Executive Officer of international software giant Microsoft.	JOB	<LOC> Chief Minister <PER>  today congratulated <PER> on being appointed as the Chief Executive officer of international software giant <ORG>.
Bill Gates steps up to new role as technology advisor	JOB	<PER> steps up to new role as technology advisor
Bill Gates has reportedly taken over a bigger role in Microsoft as technology advisor to Microsoft's new CEO Satya Nadella, after he stepped down as the company's chairman.	JOB	<PER> has reportedly taken over a bigger role in <ORG> as technology advisor to <ORG>'s new CEO <PER>, after he stepped down as the company's chairman.
The 46-year-old has previously headed Microsoft's Cloud and Enterprise group and is only the third chief executive to be appointed in the company's nearly forty-decade-old history.	JOB	The 46-year-old has previously headed <ORG>'s Cloud and Enterprise group and is only the third chief executive to be appointed in the company's nearly forty-decade-old history.
Anshu Jain serves as co-CEO of Germany's Deutsche Bank, while Menezes last year took over as chief of UK-based liquor giant Diageo.	JOB	<PER> serves as co-CEO of <LOC>'s <ORG>, while <PER> last year took over as chief of <LOC>-based liquor giant <ORG>.
Ex-RPower CEO joins Punj Lloyd as Group CEO and director	JOB	Ex-RPower CEO joins <ORG> CEO and director
Diversified EPC conglomerate Punj Lloyd has appointed J P Chalasani as Director and Group Chief Executive Officer.	JOB	Disatisified <ORG>  has appointed <PER> as Director and Group Chief Executive officer.
Nigel Harris replaces Joginder Singh as Ford India head	JOB	<PER> replaces <PER> as <ORG> head
