Title	Sentence	Tag	TaggedSentence
UPDATE 2-Pernod looks for more bolt-on deals after U.S buy	Pernod Ricard said it was buying Kenwood Vineyards to beef up its premium wines portfolio in the United States, the French drinks company's biggest market, and was looking for more small-scale acquisitions.	ACQ	* keeps full-year goal for 1-3 pct operating profit growth;  ;  * looking for more bolt-on deals, no large m&a - cfo (recasts with cfo comments on m&a, shares);  ;  <loc>, april 24 (<org>) - <org> ricard said it was buying <org> to beef up its premium wines portfolio in the <loc>, the french drinks company's biggest market, and was looking for more small-scale acquisitions.
UPDATE 2-Pernod looks for more bolt-on deals after U.S buy	"The acquisition of Sonoma Valley, California-based Kenwood, worth less than $100 million, would allow Pernod Ricard, to join the top 15 U.S. wine makers and gain share in a U.S. market that Chief Financial Officer Gilles Bogaert said was ""very fragmented""."	ACQ	"the acquisition of <loc>, california-based <org>, worth less than $100 million, would allow <org> ricard, to join the top 15 u.s. wine makers and gain share in a u.s. market that chief financial officer <per> said was ""very fragmented""."
UPDATE 2-Pernod looks for more bolt-on deals after U.S buy	Since its last major acquisition - the purchase of Swedish group Vin & Sprit, owner of Absolut Vodka, in 2008 for 5.7 billion euros - Pernod has focused on cutting debt.	ACQ	since its last major acquisition - the purchase of swedish group <org>, owner of <org>, in 2008 for 5.7 billion euros - <org> has focused on cutting debt.
Nokia says India plant unlikely to be part of Microsoft deal	A Nokia mobile phone lies on a tablet computer showing logos of Microsoft, in this illustration picture taken in Frankfurt, November 18, 2013.	NACQ	a <org> mobile phone lies on a tablet computer showing logos of <org>, in this illustration picture taken in <loc>, november 18, 2013.
GITP Ventures Invests in MYTIC	MEDELLIN, Colombia, April 24, 2014 /PRNewswire/ -- GITP Ventures, an international private equity firm led by serial entrepreneur and investor Michael Puscar, announced today its investment in MYTIC SAS.	NACQ	medellin, <loc>, april 24, 2014 /prnewswire/ -- <org>, an international private equity firm led by serial entrepreneur and investor <per>, announced today its investment in <org> sas.
VOXX International Makes Strategic Investment in EyeSee360, Inc.	"VOXX International Makes Strategic Investment in EyeSee360, Inc.;  ;  HAUPPAUGE, N.Y., April 24, 2014 /PRNewswire/ -- VOXX International Corporation (NASDAQ: VOXX), today announced that it has made a $3 million investment in EyeSee360, Inc. (""EyeSee360"")."	NACQ	"<org> in eyesee360, inc.;  ;  <loc>, n.y., april 24, 2014 /prnewswire/ -- <org> (nasdaq: <org>), today announced that it has made a $3 million investment in eyesee360, inc. (""eyesee360"")."
VOXX International Makes Strategic Investment in EyeSee360, Inc.	This latest investment by VOXX is in addition to an earlier capital investment by Catterton Partners, both of which will support the company as it brings the 360Fly line of panoramic action cameras to market this year.	NACQ	this latest investment by <org> is in addition to an earlier capital investment by <org>, both of which will support the company as it brings the 360fly line of panoramic action cameras to market this year.
VOXX International Makes Strategic Investment in EyeSee360, Inc.	Catterton's investments include: Restoration Hardware, Outback Steakhouse, Sweet Leaf Tea, Noodles & Company, PIADA, Bruxie, Frederic Fekkai, Build-A-Bear Workshop, Wellness and Nature's Variety pet food, Kettle Foods, Odwalla and P.F.	NACQ	<org>'s investments include: restoration hardware, <loc>, sweet leaf tea, <org>, <loc>, bruxie, <per>, build-a-bear workshop, wellness and nature's variety pet food, <org>, <org> and p.f.
CRAiLAR Technologies Inc. Retains Genesis Select for Investor Relations	"In accordance with the terms of the Company's consulting services agreement (the ""Agreement"") with Genesis; which Agreement is subject to the prior review and, if required, approval of the TSX Venture Exchange; the initial term of the Agreement is for a period of one year, and may be terminated by either party on 90 days' notice, and the Company will compensate Genesis with a monthly fee of $7,000 together with the issuance of a vesting (as to 1/12 every month) stock option to acquire an aggregate of up to 100,000 common shares of the Company for a period of five years at an exercise price of US$1.15 per common share;  ;  About CRAiLAR Technologies Inc.CRAiLAR(R) Technologies Inc. offers cost-effective and environmentally sustainable natural fiber in the form of flax, hemp and other bast fibers for use in textile, industrial, energy, medical and composite material applications."	NACQ	"in accordance with the terms of the company's consulting services agreement (the ""agreement"") with genesis; which agreement is subject to the prior review and, if required, approval of the <org>; the initial term of the agreement is for a period of one year, and may be terminated by either party on 90 days' notice, and the company will compensate genesis with a monthly fee of $7,000 together with the issuance of a vesting (as to 1/12 every month) stock option to acquire an aggregate of up to 100,000 common shares of the company for a period of five years at an exercise price of us$1.15 per common share;  ;  about <org>crailar(r) technologies inc. offers cost-effective and environmentally sustainable natural fiber in the form of flax, hemp and other bast fibers for use in textile, industrial, energy, medical and composite material applications."
IBM to Manage IT Infrastructure Globally for Fiat S.p.A., Chrysler Group and CNH Industrial	Fiat and Chrysler have plants in approximately 40 countries and products available in more than 150, while CNH Industrial manufactures in over 20 countries and sells in 190.	NACQ	<org> and <org> have plants in approximately 40 countries and products available in more than 150, while <org> manufactures in over 20 countries and sells in 190.
IBM to Manage IT Infrastructure Globally for Fiat S.p.A., Chrysler Group and CNH Industrial	The Group designs, engineers, manufactures, distributes and sells vehicles for the mass market under the Fiat, Alfa Romeo, Lancia, Abarth and Fiat Professional brands and Chrysler brands such as Chrysler, Jeep, Dodge and Ram brand vehicles and vehicles with the SRT vehicle performance designation, as well as luxury cars under the Ferrari and Maserati brands.	NACQ	the group designs, engineers, manufactures, distributes and sells vehicles for the mass market under the <org>, <per>, <org>, <per> and <org> professional brands and <org> brands such as <org>, jeep, <org> and ram brand vehicles and vehicles with the srt vehicle performance designation, as well as luxury cars under the ferrari and maserati brands.
Cannabis Capital Corp. (CBCA) Acquires WebCongress, Inc. for Cash, Shares, and Management Fees Valued over USD 25 Million	The Company is pleased to announce its first strategic acquisition, having signed a definitive agreement to acquire WebCongress, Inc., ,	ACQ	the company is pleased to announce its first strategic acquisition, having signed a definitive agreement to acquire <org>, ,
Cannabis Capital Corp. (CBCA) Acquires WebCongress, Inc. for Cash, Shares, and Management Fees Valued over USD 25 Million	We believe this acquisition provides CBCA with a profitable business combination that will enhance and support each company's core mission, expanding international operations and harmonizing the current services and offerings of WebCongress with CBCA's development.	ACQ	we believe this acquisition provides <org> with a profitable business combination that will enhance and support each company's core mission, expanding international operations and harmonizing the current services and offerings of <org> with <org>'s development.
Cannabis Capital Corp. (CBCA) Acquires WebCongress, Inc. for Cash, Shares, and Management Fees Valued over USD 25 Million	Cannabis Capital Corp. (OTCBB: CBCA) is a United States company actively pursuing investment opportunities in several traditional emerging markets while infusing them with the rapidly growing global medical cannabis industry.	NACQ	<org> (otcbb: <org>) is a <loc> company actively pursuing investment opportunities in several traditional emerging markets while infusing them with the rapidly growing global medical cannabis industry.
Westcon Group Announces Intent to Acquire Intact Integrated Services	Westcon Group, a value-added distributor of category-leading unified communications, network infrastructure, data center and security solutions with a global network of specialty resellers, today announced its intent to acquire Intact Integrated Services – a provider of project, support, and managed services to the ICT and Cisco channel industry.	ACQ	<loc>, n.y., april 24, 2014 /prnewswire/ -- <org>, a value-added distributor of category-leading <org>, network infrastructure, <org> and security solutions with a global network of specialty resellers, today announced its intent to acquire <org> – a provider of project, support, and managed services to the <org> and <org> channel industry.
NexJ Systems Inc. Acquires Liberate Ideas Inc.	Acquires Liberate Ideas Inc.;  ;  NexJ adds point-of-care education to Connected Wellness, an innovative platform for patient activation TORONTO, April 24, 2014 /PRNewswire/ - NexJ Systems Inc. (TSX: NXJ), a provider of cloud-based software delivering enterprise solutions to the financial services, insurance,...;  ;  NexJ adds point-of-care education to Connected Wellness, an innovative platform for patient activation;  ;  TORONTO, April 24, 2014 /PRNewswire/ - NexJ Systems Inc. (TSX: NXJ), a provider of cloud-based software delivering enterprise solutions to the financial services, insurance, and healthcare industries, today announced the acquisition of Liberate Ideas Inc., developer of Liberate Health, a revolutionary point-of-care patient education solution.	NACQ	<org>.;  ;  nexj adds point-of-care education to connected wellness, an innovative platform for patient activation <loc>, april 24, 2014 /prnewswire/ - <org> (<org>: nxj), a provider of cloud-based software delivering enterprise solutions to the financial services, insurance,...;  ;  nexj adds point-of-care education to connected wellness, an innovative platform for patient activation;  ;  <loc>, april 24, 2014 /prnewswire/ - <org> (<org>: nxj), a provider of cloud-based software delivering enterprise solutions to the financial services, insurance, and healthcare industries, today announced the acquisition of <org>, developer of <org>, a revolutionary point-of-care patient education solution.
Bakken Energy Corp Begins Negotiation to Buy Oil Refinery in Southern Utah Uinta Basin	Bakken Energy Corp formerly Orofino Gold Corp. (OTC: ORFG) is pleased to announce that the company has reached a memorandum of understanding between its board of directors to acquire an Oil Refinery in Southern Utah.	ACQ	<loc>, april 24, 2014 /prnewswire/ - <org> formerly orofino gold corp. (otc: orfg) is pleased to announce that the company has reached a memorandum of understanding between its board of directors to acquire an oil refinery in <loc>.
Deals of the day- Mergers and acquisitions	(Adds Zimmer, Fairfax, Fandango, Actis, Knightsbridge and Nokia);  ;  April 24 (Reuters) - The following bids, mergers, acquisitions and disposals were reported by 1330 GMT on Thursday:;  ;  ** General Electric Co is in talks to buy French turbine and train maker Alstom SA for about $13 billion, Bloomberg reported, citing people with knowledge of the matter.	ACQ	(adds <per>, <loc>, fandango, actis, <loc> and <org>);  ;  april 24 (<org>) - the following bids, mergers, acquisitions and disposals were reported by 1330 gmt on thursday:;  ;  ** <org> is in talks to buy french turbine and train maker <org> for about $13 billion, bloomberg reported, citing people with knowledge of the matter.
Deals of the day- Mergers and acquisitions	Medical device maker Zimmer Holdings Inc said it would buy orthopedic products company Biomet Inc in a deal valued at about $13.35 billion to broaden its portfolio of products that treat bone and joint-related disorders.	ACQ	** medical device maker <org> said it would buy orthopedic products company <org> in a deal valued at about $13.35 billion to broaden its portfolio of products that treat bone and joint-related disorders.
Deals of the day- Mergers and acquisitions	Fairfax Financial Holdings Ltd, the Canadian property and casualty insurer run by veteran investor Prem Watsa, said on Thursday it would buy an 80 percent stake in Indonesian general insurer PT Batavia Mitratama Insurance.	ACQ	** <org>, the canadian property and casualty insurer run by veteran investor <per>, said on thursday it would buy an 80 percent stake in <loc> general insurer pt batavia mitratama insurance.
Deals of the day- Mergers and acquisitions	Fandango, a movie ticketing service owned by cable company Comcast Corp, is buying MovieClips from Zefr Inc to boost its film-related content.	ACQ	** fandango, a movie ticketing service owned by cable company <org>, is buying movieclips from <org> to boost its film-related content.
Deals of the day- Mergers and acquisitions	The disagreements around the spin-out of certain assets that had snagged merger talks between Barrick Gold Corp and its rival, Newmont Mining Corp, have been resolved but talks are at a standstill for now, said three sources familiar with the matter on Wednesday.	ACQ	** the disagreements around the spin-out of certain assets that had snagged merger talks between <org> and its rival, <org>, have been resolved but talks are at a standstill for now, said three sources familiar with the matter on wednesday.
Deals of the day- Mergers and acquisitions	U.S. biopharmaceutical company Hyperion Therapeutics said on Thursday it agreed to buy Israel's Andromeda Biotech, a developer of a new diabetes drug, in a deal that could be worth close to $600 million.	ACQ	** u.s. biopharmaceutical company <org> said on thursday it agreed to buy <loc>'s <org>, a developer of a new diabetes drug, in a deal that could be worth close to $600 million.
Deals of the day- Mergers and acquisitions	British defence contractor Chemring Group Plc said it would sell its European munitions business to France's Nexter Systems SA for up to 167.8 million euros ($232 million) to focus on its core defence technology business.	ACQ	** british defence contractor <org> said it would sell its european munitions business to <loc>'s <org> for up to 167.8 million euros ($232 million) to focus on its core defence technology business.
Deals of the day- Mergers and acquisitions	French private equity firm PAI Partners is to buy audiovisual services provider Euro Media Group (EMG) in a deal which one source familiar with the matter said was worth up to 200 million euros ($277 million).	ACQ	** french private equity firm <org> is to buy audiovisual services provider <org> (emg) in a deal which one source familiar with the matter said was worth up to 200 million euros ($277 million).
Deals of the day- Mergers and acquisitions	A consortium led by Transurban Group, Australia's biggest toll road owner, will pay A$7.1 billion ($6.59 billion) to buy toll firm Queensland Motorways Ltd, a move likely to pave the way for more such sales by debt-laden states.	ACQ	** a consortium led by <org>, <loc>'s biggest toll road owner, will pay a$7.1 billion ($6.59 billion) to buy toll firm <org>, a move likely to pave the way for more such sales by debt-laden states.
UPDATE 1-Shipper Fredriksen to take control of dry bulk firm Knightsbridge	Tycoon's Frontline to raise Knightsbridge stake to 70 pct;  ;  OSLO, April 24 (Reuters) - Norwegian shipping tycoon John Fredriksen agreed on Thursday to take over rival Knightsbridge Tankers, creating a major operator of dry bulk carriers with 39 vessels as the sector gears up for an expected recovery.	ACQ	* tycoon's <per> to raise <loc> stake to 70 pct;  ;  <org>, april 24 (<org>) - norwegian shipping tycoon <per> agreed on thursday to take over rival <org>, creating a major operator of dry bulk carriers with 39 vessels as the sector gears up for an expected recovery.
UPDATE 2-Zimmer to buy Biomet in $13.35 bln deal	Medical device maker Zimmer Holdings Inc said it would buy orthopedic products company Biomet Inc in a deal valued at about $13.35 billion to broaden its portfolio of products that treat bone and joint-related disorders.	ACQ	april 24 (<org>) - medical device maker <org> said it would buy orthopedic products company <org> in a deal valued at about $13.35 billion to broaden its portfolio of products that treat bone and joint-related disorders.
UPDATE 2-Zimmer to buy Biomet in $13.35 bln deal	Among the deals, Novartis AG and GlaxoSmithKline Plc agreed to trade some $20 billion in assets, while Eli Lilly and Co agreed to buy Novartis's animal health business for $5.4 billion.	ACQ	among the deals, <org> and <org> agreed to trade some $20 billion in assets, while <org> agreed to buy <org>'s animal health business for $5.4 billion.
UPDATE 2-Zimmer to buy Biomet in $13.35 bln deal	The consortium, including affiliates of Blackstone Group , Goldman Sachs Capital Partners, Kohlberg Kravis Roberts & Co and TPG, had been planning to take the company public, filing for an IPO last month.	NACQ	the consortium, including affiliates of <org> , <org>, <org> and <org>, had been planning to take the company public, filing for an ipo last month.
Fairfax Financial to buy Indonesian insurer	Fairfax Financial Holdings Ltd , the Canadian property and casualty insurer run by veteran investor Prem Watsa, said on Thursday it would buy 80 percent stake in Indonesian general insurer PT Batavia Mitratama Insurance.	ACQ	april 24 (<org>) - <org> , the canadian property and casualty insurer run by veteran investor <per>, said on thursday it would buy 80 percent stake in <loc> general insurer pt <loc> mitratama insurance.
UPDATE 3-AstraZeneca plans spin-offs as cancer progress fuels bid talk	"AstraZeneca has been in transition, with much business and product development underway but little as yet is really visible,"" said Edison Investment Research analyst Mick Cooper."	NACQ	"<org> has been in transition, with much business and product development underway but little as yet is really visible,"" said <org> analyst <per>."
UPDATE 1-Sirius XM revenue beats estimates as it adds more subscribers	The company said its adjusted net income was $121 million, excluding the effect of a share repurchase deal with its parent, John Malone's Liberty Media Corp, and adjustments dating back to the Sirius XM merger six years ago.	ACQ	the company said its adjusted net income was $121 million, excluding the effect of a share repurchase deal with its parent, <per>'s <org>, and adjustments dating back to the <org> merger six years ago.
Comcast's Fandango ticket service buys MovieClips	Comcast's Fandango ticket service buys MovieClips.	ACQ	<org>'s <per> ticket service buys <org>.
Comcast's Fandango ticket service buys MovieClips	Fandango, a movie ticketing service owned by cable company Comcast Corp, is buying MovieClips from Zefr Inc to boost its film-related content.	ACQ	april 24 (<org>) - <per>, a movie ticketing service owned by cable company <org>, is buying <org> from <org> to boost its film-related content.
Private equity firm KKR's Q1 earnings drop 3 percent on fund values	Private equity firm KKR & Co LP on Thursday reported a 3 percent year-on-year drop in first-quarter profit due to a lower appreciation of its investments, overshadowing...	NACQ	<loc>, april 24 (<org>) - private equity firm <org> on thursday reported a 3 percent year-on-year drop in first-quarter profit due to a lower appreciation of its investments, overshadowing...
Private equity firm KKR's Q1 earnings drop 3 percent on fund values	That balance sheet is expected to grow further with KKR's $2.6 billion acquisition of its specialty finance company KKR Financial Holdings LLC, on which KFN shareholders are set to vote on April 30.	ACQ	that balance sheet is expected to grow further with kkr's $2.6 billion acquisition of its specialty finance company <org>, on which <org> shareholders are set to vote on april 30.
Private equity firm KKR's Q1 earnings drop 3 percent on fund values	Assets under management totaled $102.3 billion at the end of March, up from $94.3 billion at the end of December, following KKR's acquisition in February of European credit investment manager Avoca Capital.	ACQ	assets under management totaled $102.3 billion at the end of march, up from $94.3 billion at the end of december, following <org>'s acquisition in february of european credit investment manager <org>.
UPDATE 2-Unilever sales top estimates; may sell Ragu, SlimFast	Unilever bought SlimFast for about $2.4 billion in 2000, when it was a leader in a burgeoning weight-loss market that has since struggled amid a lack of innovation and an economic downturn that also led Nestle to sell most of its Jennie Craig business.	ACQ	<org> bought slimfast for about $2.4 billion in 2000, when it was a leader in a burgeoning weight-loss market that has since struggled amid a lack of innovation and an economic downturn that also led <org> to sell most of its <per> business.
UPDATE 1-Nasdaq first-quarter earnings helped by recent deals	Nasdaq last year closed a $390 million deal to buy Thomson Reuters Corp's investor relations, public relations and multimedia services businesses.	ACQ	nasdaq last year closed a $390 million deal to buy <org>'s investor relations, public relations and multimedia services businesses.
BRIEF-Datatec unit Westcon to buy Intact Integrated Services	Datatec ltd westcon group announces intent to acquire intact integrated services;  ;  * Datatec ltd - financial terms of acquisition were not disclosed and transaction is expected to close in may 2014 Source text for Eikon:	ACQ	* <org> westcon group announces intent to acquire <org>;  ;  * <org> - financial terms of acquisition were not disclosed and transaction is expected to close in may 2014 source text for eikon:
US STOCKS-Futures point to higher open on tech results	Zimmer Holdings Inc agreed to buy Biomet Inc in a deal valued at about $13.35 billion to broaden its portfolio of products that treat bone and joint-related disorders.	ACQ	* <org> agreed to buy <org> in a deal valued at about $13.35 billion to broaden its portfolio of products that treat bone and joint-related disorders.
UPDATE 1-Spain's Hispasat bids for stake in Israeli satellite rival	Abertis is working on the final terms of a deal to buy a controlling stake in Spacecom being sold by its main shareholder Eurocom Communications Ltd. of Israel but Abertis said it had yet to reach a deal.	ACQ	<per> is working on the final terms of a deal to buy a controlling stake in <org> being sold by its main shareholder <org> of <loc> but <per> said it had yet to reach a deal.
UPDATE 1-United Continental posts wider loss as revenue weakens	Adjusted for items including merger integration and severance costs, the loss was $1.33 a share, compared with a loss of $1.35 a share expected by analysts on average, according to Thomson Reuters I/B/E/S.	ACQ	adjusted for items including merger integration and severance costs, the loss was $1.33 a share, compared with a loss of $1.35 a share expected by analysts on average, according to <org> i/b/e/s.
UPDATE 2-Diamond Offshore profit beats as rig hire rates improve	Chief Executive Marc Edwards, a former Halliburton Co executive who took over at Diamond in February, said the company's added capacity and upgraded fleet put it in a strong position to navigate through any downturn.	NACQ	chief executive <per>, a former <org> executive who took over at <org> in february, said the company's added capacity and upgraded fleet put it in a strong position to navigate through any downturn.
Verizon EPS fall short of Wall Street estimates	A man is silhouetted against a video screen with Vodafone and Verizon logos as he poses with a Samsung Galaxy S3 in this photo illustration taken in the central Bosnian town of Zenica, September 3, 2013.	NACQ	a man is silhouetted against a video screen with <org> and <org> logos as he poses with a samsung galaxy s3 in this photo illustration taken in the central bosnian town of <loc>, september 3, 2013.
American Airlines posts first quarter profit	The profit compared with a loss of $341 million a year earlier, which reflects results of AMR Corp prior to the merger with US Airways Group.	ACQ	the profit compared with a loss of $341 million a year earlier, which reflects results of <org> prior to the merger with <org>.
Alstom shares jump on report of GE bid	Shares in Alstom jumped more than 14 percent on Thursday after a report that U.S. conglomerate General Electric was in talks to buy the struggling French turbine and train maker for about $13 billion.	ACQ	<loc> (<org>) - shares in <org> jumped more than 14 percent on thursday after a report that u.s. conglomerate <org> was in talks to buy the struggling french turbine and train maker for about $13 billion.
Alstom shares jump on report of GE bid	Those concerns prompted Bouygues to take a $1.9 billion writedown on its Alstom stake in February.	NACQ	those concerns prompted <org> to take a $1.9 billion writedown on its <org> stake in february.
Alstom shares jump on report of GE bid	Analysts at Espirito Santo investment bank said that at an enterprise value to forecast 2015 EBITDA multiple of 9.6 and a premium of 27 percent to Wednesday's close, the price GE was reported to be offering still represented a 14 percent discount to the rest of the European capital goods sector.	NACQ	analysts at <org> investment bank said that at an enterprise value to forecast 2015 <org> multiple of 9.6 and a premium of 27 percent to wednesday's close, the price <org> was reported to be offering still represented a 14 percent discount to the rest of the <loc> capital goods sector.
Alstom shares jump on report of GE bid	Alstom's transport chief told Reuters in February the group may use an initial public offering (IPO) to sell a stake in the business as early as June if a trade buyer could not be found sooner.	NACQ	<org>'s transport chief told <org> in february the group may use an initial public offering (ipo) to sell a stake in the business as early as june if a trade buyer could not be found sooner.
Alstom shares jump on report of GE bid	Montebourg, known for attacking big business and the European Commission, last year intervened to prevent Yahoo (YHOO.O) from taking over French online video-sharing site Dailymotion from telecoms operator Orange (ORAN.PA).	ACQ	<per>, known for attacking big business and the <org>, last year intervened to prevent <org> (yhoo.o) from taking over french online video-sharing site dailymotion from telecoms operator orange (oran.pa).
Nasdaq first-quarter earnings helped by recent deals	Nasdaq last year closed a $390 million deal to buy Thomson Reuters Corp's (TRI.TO) investor relations, public relations and multimedia services businesses.	ACQ	nasdaq last year closed a $390 million deal to buy <org>'s (tri.to) investor relations, public relations and multimedia services businesses.
Comcast's Fandango ticket service buys MovieClips	Comcast's Fandango ticket service buys MovieClips.	ACQ	<org>'s <per> ticket service buys <org>.
Comcast's Fandango ticket service buys MovieClips	Fandango, a movie ticketing service owned by cable company Comcast Corp, is buying MovieClips from Zefr Inc to boost its film-related content.	ACQ	(<org>) - <per>, a movie ticketing service owned by cable company <org>, is buying <org> from <org> to boost its film-related content.
Comcast's Fandango ticket service buys MovieClips	Comcast's Fandango ticket service buys MovieClips.	ACQ	<org>'s <per> ticket service buys <org>.
Comcast's Fandango ticket service buys MovieClips	Fandango, a movie ticketing service owned by cable company Comcast Corp, is buying MovieClips from Zefr Inc to boost its film-related content.	ACQ	(<org>) - <per>, a movie ticketing service owned by cable company <org>, is buying <org> from <org> to boost its film-related content.
U.S. regulators to propose new net neutrality rules in May	That issue was recently brought into the spotlight by a tussle between Netflix and cable company Comcast Corp. (CMCSA.O) [ID:nL2N0MI01S];  ;  Comcast, through conditions placed on its 2011 merger with NBC Universal, is the only Internet provider still bound by the earlier FCC net neutrality rules through 2018.	ACQ	that issue was recently brought into the spotlight by a tussle between netflix and cable company <org> (cmcsa.o) [id:nl2n0mi01s];  ;  <org>, through conditions placed on its 2011 merger with nbc universal, is the only internet provider still bound by the earlier <org> net neutrality rules through 2018.
Russia says firms leaving over sanctions can't return soon	"BP Chief Executive Bob Dudley visited Moscow earlier this month and said the company was ""rock solid"" with its Rosneft investment and that it was ""business as usual""."	NACQ	"<org> chief executive <per> visited <loc> earlier this month and said the company was ""rock solid"" with its <org> investment and that it was ""business as usual""."
RBI unsupportive of HDFC Bank's plea to raise FII holding 	CNBC-TV18 learns from Finance Ministry sources that the central bank is of the view that HDFC Bank is close to foreign investment capital of 74 percent.	NACQ	cnbc-tv18 learns from <org> sources that the central <org> is of the view that <org> is close to foreign investment capital of 74 percent.
RBI unsupportive of HDFC Bank's plea to raise FII holding 	In what comes in as a big blow to HDFC Bank , the Reserve Bank of India (RBI) has not supported the bank’s request to permit them to raise existing foreign investment levels any further.	NACQ	in what comes in as a big blow to <org> , the <org> (rbi) has not supported the <org>’s request to permit them to raise existing foreign investment levels any further.
RBI unsupportive of HDFC Bank's plea to raise FII holding 	HDFC Bank had approached the Foreign Investment Promotion Board (FIPB) in the latter half of 2013 to increase the foreign holding in the bank to 67.55 per cent from 49 percent.However, CNBC-TV18 learns from Finance Ministry sources that the central bank is of the view that  HDFC Bank is close to foreign investment capital of 74 percent.	NACQ	<org> had approached the <org> (fipb) in the latter half of 2013 to increase the foreign holding in the <org> to 67.55 per cent from 49 percent.however, cnbc-tv18 learns from <org> sources that the central <org> is of the view that  <org> is close to foreign investment capital of 74 percent.
RBI unsupportive of HDFC Bank's plea to raise FII holding 	All put together — promoter stake, FII and ADR holding — foreign investment in HDFC Bank comes in at 74 percent.	NACQ	all put together — promoter stake, fii and adr holding — foreign investment in <org> comes in at 74 percent.
RBI unsupportive of HDFC Bank's plea to raise FII holding 	Earlier the FIPB today did not take up HDFC Bank's proposal seeking permission to raise foreign shareholding limit in the bank for want of comments from the industry department and the Reserve Bank of India.	NACQ	earlier the <org> today did not take up <org>'s proposal seeking permission to raise foreign shareholding limit in the bank for want of comments from the industry department and the <org>.
RBI unsupportive of HDFC Bank's plea to raise FII holding 	According to industry ministry sources, there is an apprehension that if the proposal of the HDFC Bank to raise its foreign investment limit to 67.55 per cent is accepted, it would exceed the cap of 74 per cent, after taking into account parent HDFC's stake.HDFC, which is 75.71 per cent owned by FIIs, and associate companies hold 22.64 per cent in HDFC Bank.	NACQ	according to industry ministry sources, there is an apprehension that if the proposal of the <org> to raise its foreign investment limit to 67.55 per cent is accepted, it would exceed the cap of 74 per cent, after taking into account parent hdfc's stake.hdfc, which is 75.71 per cent owned by fiis, and associate companies hold 22.64 per cent in <org>.
RBI unsupportive of HDFC Bank's plea to raise FII holding 	Their investments in HDFC Bank were made before 2009, when the government came out with norms to calculate the level of foreign investment in companies.The downstream investment by HDFC prior to 2009 in HDFC Bank, the officials said, will be deemed as FDI in case there is any change in the shareholding pattern after the cut-off year.HDFC Bank, however, has been maintaining that the fresh proposal will not result in breach of the cap as the investments by HDFC Ltd were made before 2009.	NACQ	their investments in <org> were made before 2009, when the government came out with norms to calculate the level of foreign investment in companies.the downstream investment by hdfc prior to 2009 in <org>, the officials said, will be deemed as fdi in case there is any change in the shareholding pattern after the cut-off year.<org>, however, has been maintaining that the fresh proposal will not result in breach of the cap as the investments by <org> were made before 2009.
RBI unsupportive of HDFC Bank's plea to raise FII holding 	At the time, it clarified that investments made prior to the guidelines would not be impacted by the 2009 norms.A bank is required to take FIPB approval to increase its foreign shareholding limit (foreign institutional investment and foreign direct investment) beyond 49 per cent up to 74 per cent.	NACQ	at the time, it clarified that investments made prior to the guidelines would not be impacted by the 2009 norms.a bank is required to take <org> approval to increase its foreign shareholding limit (foreign institutional investment and foreign direct investment) beyond 49 per cent up to 74 per cent.
Bloomberg acquires UBS Australia index business	Bloomberg acquires UBS Australia index business.	ACQ	<org> acquires <org> index business.
Pharma exports slowest in 15 yrs, to miss target this FY	US pharma companies had objected to India's move to issue a compulsory license in March, 2012 to Hyderabad-based Natco Pharma to manufacture and sell Bayer's cancer-treatment drug 'Nexavar' at a cheaper price.	NACQ	<loc> pharma companies had objected to <loc>'s move to issue a compulsory license in march, 2012 to hyderabad-based <org> to manufacture and sell <org>'s cancer-treatment drug 'nexavar' at a cheaper price.
Tale of two affidavits: Kejriwal richer than Modi	His s movable assets as per his 2012 affidavit stood at Rs 33, 42,842.According to PTI, in the 2014 declaration, Modi added more than Rs 18 lakh in his financial investments, such as cash in bank, fixed deposits and saving schemes, in the last two years.MODI DECLARES NO CASE, KEJRIWAL DECLARES 6 AGAINST HIMIn his affidavit filed along with nomination papers for the Lok Sabha election from Varanasi constituency, the AAP founder mentions six cases which are pending against him in various courts.Kejriwal owns two flats - one at Indirapuram, Ghaziabad in Uttar Pradesh and another at Shivani in Haryana.	NACQ	his s movable assets as per his 2012 affidavit stood at rs 33, 42,842.according to pti, in the 2014 declaration, <per> added more than rs 18 lakh in his financial investments, such as cash in bank, fixed deposits and saving schemes, in the last two years.<per> declares no case, <per> declares 6 against himin his affidavit filed along with nomination papers for the lok sabha election from <loc> constituency, the <org> founder mentions six cases which are pending against him in various courts.<per> owns two flats - one at <loc>, <loc> in <loc> and another at <per> in <loc>.
Nokia says trying its best to ensure Chennai plant transfer part of Microsoft Corporation deal	The Chennai plant may be excluded from software giant Microsoft's acquisition of Nokia's handset business for 5.4 billion euros due to tax issues.	ACQ	the <loc> plant may be excluded from software giant <org>'s acquisition of <org>'s handset business for 5.4 billion euros due to tax issues.
Nokia says trying its best to ensure Chennai plant transfer part of Microsoft Corporation deal	Last September, Nokia announced it would sell its devices and services (D&S) business, including assets in India, to Microsoft for USD 7.2 billion by March 2014.	ACQ	last september, <org> announced it would sell its devices and services (d&s) business, including assets in <loc>, to <org> for usd 7.2 billion by march 2014.
