Sentence	Tag
The actions we are taking are intended to enable Quiznos to reduce our debt, execute a comprehensive plan to further enhance the customer experience, elevate the profile of the brand and help increase sales and profits for our franchise owners, said Stuart K. Mathis, Quiznos Chief Executive Officer.	NONE
Akin Gump Strauss Hauer & Felds LLP is serving as legal advisor, Lazard Freres & Co. LLC is serving as financial advisor and Alvarez & Marsal is serving as restructuring advisor to Quiznos.	NONE
RouteOne Welcomes Friendly Finance To Its Credit Application Platform  FARMINGTON HILLS, Mich., March 5, 2014 /PRNewswire/ -- RouteOne announced today that Friendly Finance Corporation is now available as a fully integrated lender on the RouteOne platform.	NONE
Friendly Finance Corporation is a subprime lender specializing in providing customers with auto loans before they have been discharged from a Chapter 7 or Chapter 13 bankruptcy, as well as customers with multiple bankruptcies.	NONE
Though they specialize in the open bankruptcy market, Friendly Finance Corporation purchases contracts for all types of subprime customers.	NONE
ABOUT FRIENDLY FINANCE CORPORATIONFriendly Finance Corporation (FFC), located in Baltimore, MD, has been purchasing retail installment contracts from both franchised and independent automobile dealerships across the United States since 1949.	NONE
"New Study by UpShot Services and Chapter 11 Dockets Reveals Chapter 11 ""Free-Fall"" Bankruptcies Taking Longer  DENVER, March 4, 2013 /PRNewswire/ -- A new study conducted by claim and noticing agent UpShot Services LLC and research database firm Chapter 11 Dockets reveals that while prepackaged bankruptcies continue to get shorter, traditional, ""free-fall"" cases are, in fact, taking longer."	NONE
About UpShot Services LLC Headquartered in Denver, Colo., UpShot Services LLC is a claims & noticing firm founded by industry veterans who pioneered a new standard of efficiency to serve the administrative needs of companies in corporate bankruptcy.	NONE
Deloitte's William Snyder Inducted into The American College of Bankruptcy  WASHINGTON, March 3, 2014 /PRNewswire/ -- Deloitte announced today that William Snyder, principal, Deloitte Transactions and Business Analytics LLP and co-leader of the Deloitte Corporate Restructuring Group (Deloitte CRG), will be inducted to The American College of Bankruptcy as a Fellow of the College on March 14, 2014 in Washington, D.C.	NONE
The College now has 831 Fellows, each selected by a Board of Regents from among recommendations of the Circuit Admissions Council in each federal judicial circuit and specially appointed Committees for Judicial and Foreign Fellows.	NONE
Canwealth Minerals Corporation announces completed filing of 10-K with the SEC  NEW YORK and MONTREAL, April 15, 2014 /PRNewswire/ - Canwealth Minerals Corporation and partner ICBS Ltd., (OTCPK: ICBT), is pleased to announce its completed filing of its 10-K with the SEC.	NONE
"Aeterna Zentaris Announces Effectiveness of $50 Million Shelf Registration Statement for ""At-the-Market"" Common Share Issuance Programs  All amounts are in US dollars QUÉBEC CITY, March 28, 2014 /PRNewswire/ - Aeterna Zentaris Inc. (NASDAQ: AEZS) (TSX: AEZ) (the ""Company"") today announced that its shelf registration statement on Form F-3 previously filed with the Securities and Exchange Commission (the..."	NONE
"All amounts are in US dollars  QUÉBEC CITY, March 28, 2014 /PRNewswire/ - Aeterna Zentaris Inc. (NASDAQ: AEZS) (TSX: AEZ) (the ""Company"") today announced that its shelf registration statement on Form F-3 previously filed with the Securities and Exchange Commission (the ""SEC"") has been declared effective by the SEC."	NONE
Morningstar Credit Ratings, LLC is a subsidiary of Morningstar, Inc. (NASDAQ: MORN), a leading provider of independent investment research in North America, Europe, Australia, and Asia.	NONE
Morningstar provides data on approximately 446,000 investment offerings, including stocks, mutual funds, and similar vehicles, along with real-time global market data on more than 10 million equities, indexes, futures, options, commodities, and precious metals, in addition to foreign exchange and Treasury markets.	NONE
Joint Statement From Puerto Rico Treasury Secretary And GDB Chairman On Provisional Rating Assigned By Moody's  SAN JUAN, Puerto Rico, Feb. 28, 2014 /PRNewswire-USNewswire/ -- Today, Treasury Secretary Melba Acosta Febo and Government Development Bank for Puerto Rico (GDB) Chairman David H. Chafey provided a joint statement regarding the provisional rating assigned by Moody's Investors Service related to the Commonwealth of Puerto Rico's planned issuance of General Obligation Bonds.	NONE
We are pleased that Moody's, in its provisional rating report, continues to highlight the fact that the current administration has taken notable steps to rein in debt and spending, to reform the retirement systems, and to promote economic growth.	NONE
The proposed bond issuance will support the Commonwealth's ability to address its fiscal challenges, as we continue to implement our plan to balance the budget, make public corporations self-sufficient, create jobs, and encourage economic diversification.	NONE
These factors can be very complex, may vary from one fiscal year to the next, and are frequently the result of actions taken or not taken, not only by the Commonwealth and/or its agencies or instrumentalities, but also by entities such as the government of the United States of America or other nations that are not under the control of the Commonwealth.	NONE
"Atlatsa achieves a ranking in the 2014 TSX Venture 50®  JOHANNESBURG, Feb. 12, 2014 /PRNewswire/ - Atlatsa Resources Corporation (""Atlatsa"" or ""the Company"") (TSX: ATL; NYSE MKT: ATL; JSE: ATL) is pleased to announce that the Company has achieved a ranking in the 2014 TSX Venture 50®."	NONE
Infinity Group Portfolio Company 'WLCSP' Completes IPO and Begins Trading Publicly on the Shanghai Stock Exchange at a Market Trading Value of More than 1B USD  SHANGHAI and TEL AVIV, Israel, February 10, 2014 /PRNewswire/ -- Infinity Group announced today that portfolio company Wafer Level Chip Scale Package (WLCSP) has listed on the Shanghai Stock Exchange (Ticker: 603005.SH) and has raised US$118M with an IPO price of US$780M.	NONE
The closing...  Infinity Group announced today that portfolio company Wafer Level Chip Scale Package (WLCSP) has listed on the Shanghai Stock Exchange (Ticker: 603005.SH) and has raised US$118M with an IPO price of US$780M.	NONE
Seeing an opportunity, Mr. Gal-Or and Infinity Group managing partner Mr. Avishai Silvershatz, with support from their partners Neurone Ventures and later Suzhou Industrial Park (today CSVC), stepped in to rescue Shellcase with a $19 million financing round.	NONE
It took WLCSP only 12 months from establishment to realize profitability.	NONE
The fund's hands-on approach has provided substantial management support to its companies, such as in marketing, business development, capital markets, and actively helping with M&As (Xosoft, Galay-Or, Kavado, Etc.) and IPOs (Voltaire, Scopus, etc.).	NONE
In recent years, TASE has enhanced its international presence, signing Memoranda of Understanding with the London Stock Exchange, NASDAQ, NYSE-Euronext, the Shanghai Stock Exchange, and Toronto Stock Exchange.	NONE
The press release has been issued to announce the amount and timing of the distributions declared by the Board of Trustees.	NONE
"DoubleLine Capital LP (""DoubleLine""), the Fund's investment adviser, expects that the Fund will normally invest at least 80% of its net assets (plus any borrowings for investment purposes) in debt securities and other income-producing investments anywhere in the world, including emerging markets."	NONE
DoubleLine Capital LP, a registered investment adviser under the Investment Advisers Act of 1940, acts as the investment adviser for the Fund.	NONE
CN announced on Oct. 25, 2013, that it intends to purchase common shares pursuant to private agreements in accordance with the terms of issuer bid exemption orders issued by the Ontario Securities Commission, which purchases will form part of CN's normal course issuer bid.	NONE
Important risk factors that could affect the above forward-looking statements include, but are not limited to, the effects of general economic and business conditions, industry competition, inflation, currency and interest rate fluctuations, changes in fuel prices, legislative and/or regulatory developments, compliance with environmental laws and regulations, actions by regulators, various events which could disrupt operations, including natural events such as severe weather, droughts, floods and earthquakes, labor negotiations and disruptions, environmental claims, uncertainties of investigations, proceedings or other types of claims and litigation, risks and liabilities arising from derailments, and other risks and assumptions detailed from time to time in reports filed by CN with securities regulators in Canada and the United States.	NONE
CN - Canadian National Railway Company, along with its operating railway subsidiaries -- serves the cities and ports of Vancouver, Prince Rupert, B.C., Montreal, Halifax, New Orleans, and Mobile, Ala., and the metropolitan areas of Toronto, Edmonton, Winnipeg, Calgary, Chicago, Memphis, Detroit, Duluth, Minn./Superior, Wis., and Jackson, Miss., with connections to all points in North America.	NONE
Transat A.T. Receives Conditional Exemption from Applicable Take-Over Bid and Related Early Warning Reporting Requirements  MONTREAL, Jan. 23, 2014 /CNW Telbec/ - Transat A.T. Inc. announces that pursuant to an application it filed with the Autorité des marchés financiers, as principal regulator, the Ontario Securities Commission and the securities regulatory authorities in the other provinces of Canada, the company received, on December18, 2013, a conditional exemption from applicable take-over bid and related early warning reporting requirements.	NONE
In an effort to facilitate the acquisition of Class A Variable Voting Shares, Transat applied to the Autorité des marchés financiers, as principal regulator, and the Ontario Securities Commission in order to seek the decision.	NONE
The decision also takes into account the fact that Transat's dual class shareholding structure was implemented solely to ensure compliance with the requirements of the Canada Transportation Act.	NONE
P. Carey Inc. (NYSE:WPC) announced today it has received an investment grade issuer rating of Baa2 with a stable outlook from Moody's Investors Service.	NONE
P. Carey Inc. (NYSE: WPC) announced today it has received an investment grade issuer rating of Baa2 with a stable outlook from Moody's Investors Service.	NONE
In addition, Moody's noted WPC's rigorous underwriting criteria and focus on acquiring mission critical assets.	NONE
As a result of our Moody's rating and our previously announced BBB rating from S&P, we believe we are strongly positioned to access the investment grade unsecured market.	NONE
W. P. Carey Inc.W. P. Carey Inc. is a publicly traded REIT (NYSE: WPC) that provides long-term sale-leaseback and build-to-suit financing for companies worldwide and owns and manages an investment portfolio totaling more than $15 billion.	NONE
"Neuberger Berman Global Allocation Fund Marks Third Anniversary; Awarded 5 Stars By Morningstar  NEW YORK, Jan. 15, 2014 /PRNewswire/ -- Neuberger Berman Group LLC, one of the world's leading employee-controlled money managers, is pleased to announce the Neuberger Berman Global Allocation Fund (tickers: NGLAX, NGLCX, and NGLIX) (the ""Fund"") recently marked its third anniversary with superior performance in its category."	NONE
Since inception on December 29, 2010, the Fund's Class A (NGLAX) and Institutional Class (NGLIX) shares rank in the 11 and 6 percentiles, respectively, while the Class C (NGLCX) shares rank in the 16 percentile, among a peer group of 174 tactical allocation funds, according to data from fund tracker Morningstar Inc.  Morningstar has awarded the Fund's Institutional Class an overall rating of 5 stars in the tactical allocation funds category.	NONE
With offices in 16 countries, Neuberger Berman's team is approximately 2,000 professionals and the company was named by Pensions & Investments as a 2013 Best Place to Work in Money Management.	NONE
"Semper Short Duration Fund Receives 4 Star Morningstar Rating and Crosses Three Year Mark With Continued Asset Growth and Performance  NEW YORK, Jan. 13, 2014 /PRNewswire/ -- Semper Capital Management announced today that the Semper Short Duration Fund (the ""Fund"") has received a 4 star overall rating from Morningstar."	NONE
"DALLAS, Jan. 10, 2014 /PRNewswire/ -- Swank Capital, LLC and Cushing® MLP Asset Management, LP announced today an interim change to the constituents of The Cushing® MLP High Income Index (the ""Index"")."	NONE
Discovery Minerals Forming JV to Access Bio-Fuel Technology for Industrial Hemp  RENO, Nevada, April 17, 2014 /PRNewswire/ -- Discovery Minerals Ltd. (OTC: DSCR) has agreed to form a Joint Venture (JV) partnership with Bio-fuel Technology company Syngar Technologies, Inc. (SGI) of Alberta, Canada.	VNSP
The Joint Venture will authorize use of Syngar's synthesis technology...  Discovery Minerals Ltd. (OTC: DSCR) has agreed to form a Joint Venture (JV) partnership with Bio-fuel Technology company Syngar Technologies, Inc. (SGI) of Alberta, Canada.	VNSP
Attunity to Report First Quarter 2014 Results on May 1, 2014  BURLINGTON, Massachusetts, April 17, 2014 /PRNewswire/ -- Attunity Ltd. (NASDAQ CM: ATTU), a leading provider of information availability software solutions, announced today that it will release its unaudited financial results for the three-month period and year...  Attunity Ltd. (NASDAQ CM: ATTU), a leading provider of information availability software solutions, announced today that it will release its unaudited financial results for the three-month period and year ended March 31, 2014 on Thursday, May 1, 2014, before U.S. markets open.	NONE
Attunity provides software directly and indirectly through a number of partners such as Microsoft, Oracle, IBM and HP.	NONE
Banco Industrial e Comercial S.A. Solicitation of Consent  SAO PAULO, April 17, 2014 /PRNewswire/ -- THIS ANNOUNCEMENT DOES NOT CONSTITUTE AN OFFER TO BUY OR THE SOLICITATION OF AN OFFER TO SELL THE NOTES DESCRIBED HEREIN.	NONE
"Notes due 2015 (the ""Notes"")issued under a US$1,000,000,000 Euro Medium-Term Note ProgrammeRule 144A Notes: US05961HAE80 (ISIN) / 05961HAE8 (CUSIP)Regulation S Notes: XS0552649021  Banco Industrial e Comercial S.A. (the ""Bank"") announced today that it is soliciting the consents of the holders of the Notes (""Consents"" and each a ""Consent"") to amend the terms and conditions of the Notes (the ""Terms and Conditions"") under the Amended and Restated Fiscal Agency Agreement, dated 6 October 2010 as supplemented or amended to the date hereof, (the ""Agency Agreement""), by and between, inter alios, the Bank (as issuer of the Notes), The Bank of New York Mellon Trust (Japan), Ltd. (as disbursement agent), The Bank of New York Mellon, London Branch (as ""Fiscal Agent"", ""London Transfer Agent"" and ""Calculation Agent""), The Bank of New York Mellon, New York Branch (as ""Registrar"", ""Exchange Agent"" and ""New York Transfer Agent"") and The Bank of New York Mellon (Luxembourg) S.A. (as paying agent in Luxembourg) (together the ""Agents"") upon the terms and subject to the conditions set forth in the Consent Solicitation Statement dated 17 April 2014 (the ""Consent Solicitation Statement"") prepared by the Bank and subject to the distribution restrictions set out below and as more fully described in the Consent Solicitation Statement."	NONE
"Rationale for the Consent Solicitation and Proposed Amendment  The purpose of the Consent Solicitation is to obtain the consent of the holders of the Notes (the ""Noteholders"") at a duly convened meeting of the Noteholders (the ""Meeting"") to vary Condition 6(g) (Repurchase at the Option of the Noteholders – Change of Control) of the Terms and Conditions by passing an extraordinary resolution amending the definition of ""Change of Control"" so as to designate CCB as the controlling shareholder of the Bank  following the acquisition of control of the Bank by China Construction Bank Corporation (""CCB"") (the ""Proposed Amendment"")."	NONE
The Bank will make a public announcement of the execution of the Supplemental Fiscal Agency Agreement at or prior to 5:00 p.m., Sao Paulo time, on the next business day after the Extraordinary Resolution is duly passed.	NONE
"Noteholders that hold their Notes through The Depository Trust Company (""DTC"" and, together with Euroclear and Clearstream, Luxembourg, the ""Clearing Systems"" and each a ""Clearing System"") will, on submitting an electronic Consent in accordance with DTC's Automated Tender Offer Program, transfer the relevant principal amount of Existing Notes to an account of the Tabulation Agent and therefore will not be able to transfer such Existing Notes until the earlier of (i) the Payment Date; (ii) the date on which the DTC Participant (as defined in the Consent Solicitation Statement) delivers a properly formatted and transmitted withdrawal request to the Tabulation Agent, withdrawing a Consent up to and including the Expiration Time; and (iii) 45 calendar days from the date hereof."	NONE
If any Noteholder is in any doubt as to the contents of the Consent Solicitation Statement or the action it should take, it is recommended to seek its own financial advice, including in respect of any tax consequences, from its broker, bank manager, solicitor, accountant or other independent financial, tax or legal adviser.	NONE
Persons into whose possession this announcement and/or the Consent Solicitation Statement comes are required by each of the Bank, the Solicitation Agent and the Tabulation Agent to inform themselves about, and to observe, any such restrictions.	NONE
BlueSnap™ Sets a Course For Worldwide Expansion, With Key Global Hires and New Offices  WALTHAM, Mass., April 17, 2014 /PRNewswire/ -- Global payment gateway,  BlueSnap today announced it is expanding its global operations, opening up new offices in Australia and Malta, and adding top tier talent across the world.	NONE
BlueSnap is a smarter international payment gateway powering the checkout process for eCommerce merchants worldwide, and fueling growth for online businesses serving digital, physical and mobile markets.	NONE
With over 10 years experience serving merchants around the globe and supporting shoppers in 180 countries with localization in 29 languages, 60 currencies and 110 payment types, BlueSnap is fulfilling its promise to convert more shoppers to buyers worldwide.	NONE
Mentor Graphics Veloce Emulation Platform Selected by Imagination Technologies for IP Verification Based on Performance and Capacity  WILSONVILLE, Ore.,  April 17, 2014 /PRNewswire/ -- Mentor Graphics Corp. (Nasdaq: MENT), a leader in advanced system verification solutions, announced today that Imagination Technologies, a global leader in the supply of semiconductor design IP including PowerVR GPUs and MIPS CPUs, has adopted the Veloce 2 enterprise emulation platform to complement its existing emulation and verification infrastructure.	NONE
"Berkeley Point Expands Financing Options to Include Bridge Loans and CMBS  NEW YORK, April 17, 2014 /PRNewswire/ -- Berkeley Point Capital LLC (""Berkeley Point""), one of the nation's leading providers of multifamily capital solutions, with exceptional servicing and asset management capabilities, today announced it is now providing clients with expanded access to financing options for all commercial properties types, including office, retail, hospitality, industrial, mixed-use, self-storage, and non-agency multifamily properties."	NONE
Before that, he served as general counsel of major financial institutions, including The Bear Stearns Companies Inc., and of the US Consumer Product Safety Commission.	NONE
"Caps & Closures Market by Raw Material, Applications & Types - Global Trends & Forecast to 2018  DUBLIN, April 17, 2014 /PRNewswire/ -- Dublin - Research and Markets  has announced the addition of the ""Caps & Closures Market by Raw Material, Applications & Types - Global Trends & Forecast to...  Dublin - Research and Markets  has announced the addition of the ""Caps & Closures Market by Raw Material, Applications & Types - Global Trends & Forecast to 2018"" report to their offering."	NONE
"Specialty Gas Market by Types, Applications & Geography - Global Trends and Forecast to 2018  DUBLIN, April 17, 2014 /PRNewswire/ -- Dublin - Research and Markets  has announced the addition of the ""Specialty Gas Market by Types, Applications & Geography - Global Trends and Forecast to...  Dublin - Research and Markets  has announced the addition of the ""Specialty Gas Market by Types, Applications & Geography - Global Trends and Forecast to 2018"" report to their offering."	NONE
"Endoscopy Equipment Market by Endoscopes, Visualization Systems & Application - Global Forecasts to 2018  DUBLIN, April 17, 2014 /PRNewswire/ -- Dublin - Research and Markets  has announced the addition of the ""Endoscopy Equipment Market by Endoscopes, Visualization Systems & Application - Global Forecasts to...  Dublin - Research and Markets  has announced the addition of the ""Endoscopy Equipment Market by Endoscopes, Visualization Systems & Application - Global Forecasts to 2018"" report to their offering."	NONE
"Global Antimicrobial Coatings Market by Type, Application & Geography - Trends & Forecasts to 2018  DUBLIN, April 17, 2014 /PRNewswire/ -- Dublin - Research and Markets  has announced the addition of the ""Global Antimicrobial Coatings Market by Type, Application & Geography - Trends & Forecasts to...  Dublin - Research and Markets  has announced the addition of the ""Global Antimicrobial Coatings Market by Type, Application & Geography - Trends & Forecasts to 2018"" report to their offering."	NONE
The company SVP, Global Controller & CAO, Aman S. Kothari, sold his shares at the price of US$36.17 on the same day.	NONE
The client secured a 5-year, $25 million deal with the Joint Chiefs of Staff, assuring its foothold in the ever-important federal market.	NONE
Bringing together the Joint Chiefs of Staff and this client is a win-win; the Navy earns a top-notch partner in information security, while the client has an enormous opportunity to prove its capacity to do bigger and better things.	NONE
EMD Strategies' client will be providing information assurance services to some of the Joint Chiefs of Staff top brass.	VNSP
EMD Strategies utilizes their relationships built with small, mid, and large integrators, as well as Federal Clients, to help their clients identify and win Federal Contracts.	NONE
"CNOOC Limited Filed 2013 Annual Report on Form 20-F  HONG KONG, April 17, 2014 /PRNewswire/ -- CNOOC Limited (the ""Company"", NYSE: CEO, SEHK: 00883, TSX: CNU) announced today it has filed with the United States Securities and Exchange Commission (""SEC"") its 2013 annual report on Form 20-F (""annual report"") that included audited financial statements for the year ended December 31, 2013."	NONE
"ACG Orange County to Honor 25 Top Companies in the Region  NEWPORT BEACH, Calif., April 17, 2014 /PRNewswire/ -- The Association for Corporate Growth Orange County chapter (""ACG OC"") will honor 25 companies at its annual 2014 Awards Gala, which will be held at the Island Hotel on Thursday, May 15th at 6:00 p.m."	NONE
Out of more than 100 nominations, 25 finalists were selected this year including:Agility Fuel Systems, American Advisors Group, American HandForge, Astro Pak Corporation, Co-Op Financial Services, Dana Innovations, Diamond Wipes, Enerliance, Galasso's Bakery, Global Language Solutions, Global Realty Services Group, Hoag Hospital, Innova, Mission Landscape Company, Newport Corporation, Newlight Technologies, Operation Technology, Opus Bank, Phoenix Energy Technologies, Phoenix Telecom Solutions, The Bruery, Thoro Packaging, US Storage Centers, Walker Bros Machinery & Moving, and Zumasys.	NONE
"Winners will be announced at a black tie optional event that ACG OC organizers promise will be unlike any that has come before it,"" says J. Michael Issa, ACG Orange County president and principal of GlassRatner."	NONE
"All of these elements, along with great support from our sponsors and committee members are what we believe are the perfect recipe for a positive and dynamic experience for everyone,"" noted Awards Gala co-chair Samantha McDermott, chief marketing officer for Stradling Yocca Carlson & Rauth P.C.  Event co-chairs Yolanda De La Paz and Maria Hillman echoed, ""Let's not forget the fabulous food and wine that will be served at the event."	NONE
"A duet of seabass and braised short-ribs accompanied by top wine picks from ACG's president and sommelier, Mike Issa, are the special ingredients for a corporate awards program you don't want to miss."""	NONE
About ACG Orange County Founded in 1954, the Association for Corporate Growth is a global organization with 56 chapters involved in corporate growth, corporate development, and mergers and acquisitions.	ACQ
"Country Style Cooking Restaurant Chain Files Annual Report on Form 20-F  CHONGQING, China, April 17, 2014 /PRNewswire/ -- Country Style Cooking Restaurant Chain Co., Ltd (NYSE: CCSC) (""Country Style Cooking"" or the ""Company""), a fast-growing quick service restaurant chain in China, today announced the filing of its annual report on Form 20-F for the year ended December 31, 2013 with the Securities and Exchange Commission."	NONE
Although the economy is continuing to improve, retailers should not take their foot off the pedal, said Alison Paul, vice chairman, Deloitte LLP and Retail & Distribution sector leader.	NONE
"China Unicom Filed 2013 Annual Report on the SEC  HONG KONG, April 17, 2014 /PRNewswire/ -- China Unicom (Hong Kong) Limited (HKSE: 0762; NYSE: CHU) (""the Company"") today announced that the Company has filed with the United States Securities and Exchange Commission (the ""SEC"") its Annual Report on Form 20-F for the year ended December 31, 2013 (the ""2013 20-F"")."	NONE
Click Here to view the inventory of discounted Eric Church tickets at Ticketability.com.Eric Church tour tickets are expected to sell out for live performances that are taking place in both the United States and Canada.	NONE
"Youku Tudou Filed 2013 Annual Report on Form 20-F  BEIJING, April 17, 2014 /PRNewswire/ -- Youku Tudou Inc. (NYSE: YOKU), China's leading Internet television company (""Youku Tudou"" or the ""Company""), today announced that the Company has filed its annual report on Form 20-F that includes its audited financial statements for three years ended December 31, 2013 with the Securities and Exchange Commission on April 16, 2014."	NONE
Sinovac Files 2013 Annual Report on Form 20-F  BEIJING, April 16, 2014 /PRNewswire/ -- Sinovac Biotech Ltd. (Nasdaq: SVA), a leading provider of biopharmaceutical products in China that focuses on the research, development, manufacturing and commercialization of vaccines, announced today that it has filed its 2013 Annual Report on Form 20-F with the U.S. Securities and Exchange Commission for the year ended December 31, 2013 on April 16, 2014.	NONE
Rapid Fire Marketing Files 10K with U.S. Securities and Exchange Commission  CARSON CITY, Nev., April 16, 2014 /PRNewswire/ -- Rapid Fire Marketing, Inc. (OTCQB: RFMK), announced today that the Company filed their 10K annual report with the U.S. Securities and Exchange Commission on 15 April, 2014.	NONE
Sundyne Acquires Pressure Products Industries; Expands Compressor Line  ARVADA, Colo., April 17, 2014 /PRNewswire/ -- Sundyne announces the merger with Pressure Products Industries (PPI), a manufacturer of sealless reciprocating diaphragm compressors for the refining, petrochemical, chemical, LNG and semiconductor markets.	ACQ
